型号,brand,index_zol,price,OLED,IP,full screen,screen_size,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,device_length,device_width,device_thickness,fingerprint_type,release date,releaseY,releaseM,wireless_charge,battery vol
华为P Smart Z（全网通）,华为手机,1270310,,,,,6.5,2,1600,200,,,,1,800,,,,,海思,海思 麒麟 710,4,64,,2340x1080像素,396ppi,,,,后置指纹 ,2019/>,2019,,,4000
华为Y7 Prime（全网通）,华为手机,1173063,,,,,,,,,,,,1,200,,,,,高通,高通 骁龙435（MSM8940）,3,32,,,267ppi,153.6,76.4,8.35,后置指纹 ,2017/>,2017,,,4000
华为Y3 2017（全网通）,华为手机,1169886,,,,,,,,,,,,1,,,,,,联发科,联发科 MT6737M,1,8,,,196ppi,145.1,73.7,9.45,,2017/>,2017,,,
华为nova 2青春版（全网通）,华为手机,1207760,,,,1,,,,,,,,,,,,,,,,,,,,,,,,后置指纹 ,2018/>,2018,,,
华为P11 Plus（全网通）,华为手机,1207036,,,,1,,,,,,,,,800,,,,,5.93英寸,5.93英寸,,,,,,,,,,2018/>,2018,,,
华为nova 2 Lite（全网通）,华为手机,1209335,,,,1,,2,1300,200,,,,1,,,,,,高通,高通 骁龙430（MSM8937）,3,32,,,,,,,后置指纹 ,2018/>,2018,,,
华为Y3 2018（全网通）,华为手机,1212122,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,2018/>,2018,,,
华为Mate S2（移动4G）,华为手机,1141601,,,,,,,,,,,,1,,,,,,海思,海思 麒麟 960,4,,,,,,,,,4G手机>，3G手机>，智能手机>，游戏手机>,4,3,,3500
华为Y5 Lite（全网通）,华为手机,1208677,,,,,,,,,,,,,2920,,,,,联发科,联发科 MT6737,,,,,,,,,,2018/>,2018,,,
华为Maya（全网通）,华为手机,1164564,,,,,,,,,,,,1,,,,,,联发科,联发科 MT6737T,2,,,,,,,,,2017/>,2017,,,
华为P11 Lite（全网通）,华为手机,1205754,,,,1,,,,,,,,,1600,,,,,,,,,,,,,,,,2018/>,2018,,,
华为nova 8 SE（全网通/5G版）,华为手机,1338710,,,,1,6.5,4,6400,800,200,200,,1,1600,,,,,联发科,联发科 天玑800,,,1,2400x1080像素,,162.31,75,8.58,侧面指纹,2020/>,2020,,,4000
华为nova 8（全网通/5G版）,华为手机,1338711,,,,1,6.5,4,6400,800,200,200,,1,1600,,,,,联发科,联发科 天玑800U,,,1,2400x1080像素,,162.31,75,8.58,侧面指纹,2020/>,2020,,,4000
华为nova 8 Pro（全网通/5G版）,华为手机,1338712,,,,1,6.5,4,6400,800,200,200,,1,1600,,,,,联发科,联发科 天玑1000+,,,1,2400x1080像素,,162.31,75,8.58,侧面指纹,2020/>,2020,,,4000
华为Y9a（全网通）,华为手机,1338976,,,,1,6.63,4,6400,800,200,200,,1,800,,,,,联发科,联发科 Helio G80,,128,,2400x1080像素,,163.5,76.5,8.95,侧面指纹,2020/9/,2020,9,,4300
华为P10 Plus（VKY-AL00/6GB RAM全网通）,华为手机,1163813,,0,,0,,2,2000,1200,,,,1,3200,,,,,海思,海思 麒麟 960,6,64,,,534ppi,Summilu,-H,"8.07mm
液氧/引力：158.46",前置指纹 ,2017/03/>,2017,03,,3750
vivo X50 Pro（8GB/128GB/全网通/5G版）,vivo手机,1325247,4298,1,,1,6.56,4,4800,800,800,1300,,1,4400,800,,,,高通,高通 骁龙765G,8,128,1,2376x1080像素,398ppi,,72.8,7.39,屏幕指纹 ,2020/06/01,2020,06,,4315
vivo S7（8GB/128GB/全网通/5G版）,vivo手机,1333373,2798,1,,1,6.44,3,6400,800,200,,,2,3200,,,,,高通,高通 骁龙765G,8,128,1,2400x1080像素,408ppi,黑镜：158.46,74.2,"7.55mm
液氧/浅醺：159.54",屏幕指纹 ,2020/08/03,2020,08,,4000
vivo X50（8GB/128GB/全网通/5G版）,vivo手机,1322836,3498,1,IP53,1,6.56,4,4800,800,500,1300,,1,3200,,,,,高通,高通 骁龙765G,8,128,1,2376x1080像素,398ppi,158.82,75.39,"8.83mm
驼色：158.5",屏幕指纹 ,2020/06/01,2020,06,,4200
vivo X50 Pro+（8GB/128GB/全网通/5G版）,vivo手机,1325868,4998,1,,1,6.56,4,5000,3200,1300,1300,,1,1600,,,,,高通,高通 骁龙865,8,128,1,2376x1080像素,398ppi,黑镜：159.54,73,8.46,屏幕指纹 ,2020/07/11,2020,07,,4350
vivo Y70s（8GB/128GB/全网通/5G版）,vivo手机,1324446,2098,0,,1,6.53,3,4800,800,200,,,1,3200,,,,,三星,三星 Exynos 880,8,128,1,2340x1080像素,,引力：158.5,76.61,8.68,侧面指纹,2020/06/01,2020,06,,4500
vivo S6（8GB/128GB/全网通/5G版）,vivo手机,1314381,2498,1,,1,6.44,4,4800,800,200,200,,1,1600,,,,,三星,三星 Exynos 980,8,128,1,2400x1080像素,,162.07,74.66,9.4,屏幕指纹 ,2020/03/31,2020,03,,4500
vivo NEX 3S（8GB/256GB/全网通/5G版）,vivo手机,1313064,4998,1,,1,6.89,3,6400,1300,1300,,,1,1600,,,,,高通,高通 骁龙865+X55芯片,8,256,1,2256x1080像素,,161.16,76.14,9.16,屏幕指纹 ,2020/03/10,2020,03,,4500
vivo Z6（6GB/128GB/全网通/5G版）,vivo手机,1311965,2198,0,,1,6.57,4,4800,800,200,200,,1,1600,,,,,高通,高通 骁龙765G,6,128,1,2400x1080像素,,167.44,75.71,,后置指纹 ,2020/2/29,2020,2,,5000
vivo Y5s（6GB/128GB/全网通）,vivo手机,1299595,1498,0,,1,6.53,3,1600,800,200,,,1,3200,,,,,联发科,联发科 Helio P65,6,128,,2340x1080像素,394ppi,163.99,,8.80,后置指纹 ,2019/11/,2019,11,,5000
vivo X30（8GB/128GB/全网通/5G版）,vivo手机,1207177,2998,1,,1,6.44,3,6400,800,3200,,,1,1600,,,,,三星,三星 Exynos 980,8,128,1,2400x1080像素,,,74.10,9.11,屏幕指纹 ,2019/12/16,2019,12,,4350
vivo Y50（8GB/128GB/全网通）,vivo手机,1317785,1698,0,,1,6.53,4,1300,800,200,200,,1,1600,,,,,高通,高通 骁龙665,8,128,,2340x1080像素,394ppi,158.45,76.46,,后置指纹 ,2020/04/,2020,04,,5000
vivo Y3（4GB/128GB/全网通） ,vivo手机,1274580,1198,0,,1,6.35,3,1300,800,200,,,1,800,,,,,联发科,联发科 MT6765,4,128,,,268ppi,162.04,,8.46,后置指纹 ,2019/05/,2019,05,,5000
vivo Y51s（6GB/128GB/全网通）,vivo手机,1333329,1698,0,,1,6.53,3,4800,200,200,,,1,1600,,,,,三星,三星 Exynos 880,6,128,1,2340x1080像素,394ppi,,76.61,9.4,侧面指纹,2020/07/,2020,07,,4500
vivo NEX 3（8GB/256GB/全网通/5G版）,vivo手机,1291141,4998,1,,1,6.89,3,6400,1300,1300,,,1,1600,,,,,高通,高通 骁龙855 Plus,8,256,1,2256x1080像素,,162.05,76.14,8.95,屏幕指纹 ,2019/09/16,2019,09,,4500
vivo X27（8GB RAM/骁龙710/全网通） ,vivo手机,1262905,,1,,1,6.39,3,4800,1300,500,,,1,3200,,,,,高通,高通 骁龙710,8,256,,2340x1080像素,,167.44,74.26,8.13,屏幕指纹 ,2019/03/,2019,03,,4000
vivo Z5（6GB/128GB/全网通）,vivo手机,1258285,,1,,1,6.38,3,4800,800,200,,,1,1600,,,,,高通,高通 骁龙712,6,128,,2340x1080像素,404ppi,157.66,75.23,8.46,屏幕指纹 ,2019/07/31,2019,07,,4500
vivo Y70s（6GB/128GB/全网通/5G版）,vivo手机,1324731,1898,0,,1,6.53,3,4800,800,200,,,1,3200,,,,,三星,三星 Exynos 880,6,128,1,2340x1080像素,,159.53,76.61,8.64,侧面指纹,2020/06/01,2020,06,,4500
vivo S5（8GB/128GB/全网通）,vivo手机,1297734,,1,,1,6.44,4,4800,800,200,500,,1,3200,,,,,高通,高通 骁龙712,8,128,,2400x1080像素,,162.07,73.92,8.80,屏幕指纹 ,2019/11/14,2019,11,,4100
vivo X30 Pro（8GB/128GB/全网通/5G版）,vivo手机,1305160,3698,1,,1,6.44,4,6400,1300,800,3200,,1,3200,,,,,三星,三星 Exynos 980,8,128,1,2400x1080像素,,157.9,74.10,,屏幕指纹 ,2019/12/16,2019,12,,4350
vivo Y9s（8GB/128GB/全网通）,vivo手机,1303133,1698,1,,1,6.38,4,4800,800,200,200,,1,4400,800,,,,高通,高通 骁龙665,8,128,,2340x1080像素,,158.45,,7.39,屏幕指纹 ,2019/12/,2019,12,,4500
vivo S7（8GB/256GB/全网通/5G版）,vivo手机,1334224,3098,1,,1,6.44,3,6400,800,200,,,2,2480,,,,,高通,高通 骁龙765G,8,256,1,2400x1080像素,408ppi,,74.2,8.54,屏幕指纹 ,2020/08/03,2020,08,,4000
vivo S1（6GB/128GB/全网通）,vivo手机,1261158,,,,1,6.53,4,1200,2400,800,500,,1,1600,,,,,联发科,联发科 Helio P70,6,128,,2340x1080像素,,158.82,75.93,,后置指纹 ,2019/03/,2019,03,,3940
vivo Y7s（6GB/128GB/全网通） ,vivo手机,1283965,,1,,1,6.38,3,1600,800,200,,,1,800,,,,,联发科,联发科 Helio P65,6,128,,2340x1080像素,403ppi,161.97,,7.98,屏幕指纹 ,2019/07/,2019,07,,4500
vivo NEX旗舰版（全网通）,vivo手机,1219823,,1,,1,6.59,3,1200,2400,500,,,1,800,,,,,高通,高通 骁龙845,8,128,,2316x1080像素,388ppi,,77,8.28,屏幕指纹 ,2018/06/,2018,06,,4000
vivo Y93s（全网通）,vivo手机,1245075,,0,,1,6.2,2,1300,200,,,,1,1600,,,,,联发科,联发科 MT6762,4,128,,,270ppi,162,75.09,9.16,,2018/12/10,2018,12,,4030
vivo Z6（8GB/128GB/全网通/5G版）,vivo手机,1313053,,0,,1,6.57,4,4800,800,200,200,,1,1600,,,,,高通,高通 骁龙765G,8,128,1,2400x1080像素,,155.11,75.71,,后置指纹 ,2020/2/29,2020,2,,5000
vivo Z5i（8GB/128GB/全网通）,vivo手机,1302367,,,,1,6.53,3,1600,800,200,,,1,3200,,,,,高通,高通 骁龙675,8,128,,2340x1080像素,,163.99,,"8.83mm
驼色：158.5",后置指纹 ,2019/11/28,2019,11,,5000
vivo X50 Pro+（12GB/256GB/全网通/5G版）,vivo手机,1328242,5998,1,,1,6.56,4,5000,3200,1300,1300,,1,1600,,,,,高通,高通 骁龙865,12,256,1,2376x1080像素,398ppi,,73,,屏幕指纹 ,2020/07/11,2020,07,,4350
vivo APEX 2020（12GB/256GB/全网通/5G版）,vivo手机,1310564,,,,1,6.45,1,4800,,,,,1,800,,,,,高通,高通 骁龙865,12,256,1,,,引力：158.5,,8.92,屏幕指纹 ,2020/2/,2020,2,1,
vivo U3x（3GB/32GB/全网通）,vivo手机,1293530,,,,1,6.35,3,1300,800,200,,,1,3200,,,,,高通,高通 骁龙665,3,32,,,268ppi,,76.77,8.99,后置指纹 ,2019/9/,2019,9,,5000
vivo X27 Pro（8GB RAM/全网通）,vivo手机,1261145,3298,1,,1,6.7,3,4800,1300,200,,,1,2480,,,,,高通,高通 骁龙710,8,256,,2460x1080像素,401ppi,159.43,74.6,7.1,屏幕指纹 ,2019/03/,2019,03,,4000
vivo X23幻彩版（6GB RAM/全网通）,vivo手机,1240007,,1,,1,6.41,2,1200,1300,,,,1,800,,,,,高通,高通 骁龙660AIE,6,128,,2340x1080像素,401ppi,165.7,75.4,7.98,屏幕指纹 ,2018/11/,2018,11,,3500
vivo NEX（6GB RAM/全网通）,vivo手机,1215577,,1,,1,6.59,3,1200,2400,500,,,1,3200,,,,,高通,高通 骁龙710,6,128,,2316x1080像素,388ppi,157.6,77,"8.07mm
液氧/引力：158.46",后置指纹 ,2018/06/,2018,06,,4000
vivo X50 Pro（8GB/256GB/全网通/5G版）,vivo手机,1325254,4698,1,,1,6.56,4,4800,800,800,1300,,1,1200,2400,,,,高通,高通 骁龙765G,8,256,1,2376x1080像素,398ppi,162,72.8,7.45,屏幕指纹 ,2020/06/01,2020,06,,4315
vivo X20Plus（全网通）,vivo手机,1183497,,1,,1,6.43,3,1200,2400,500,,,2,,,,,,高通,高通 骁龙660,4,64,,2160x1080像素,376ppi,黑镜：158.46,80.09,8.09,后置指纹 ,2017/09/,2017,09,,3905
vivo NEX双屏版（10GB RAM/全网通）,vivo手机,1229281,,1,,1,6.39,2,1200,200,,,,,1600,,,,,高通,高通 骁龙845,10,128,,2340x1080像素,,165.32,75.3,8.89,屏幕指纹 ,2018/12/29,2018,12,,3500
vivo U3（4GB/64GB/全网通）,vivo手机,1297396,,0,,1,6.53,3,1600,800,200,,,1,3200,,,,,高通,高通 骁龙675,4,64,,2340x1080像素,394ppi,157.19,76.47,8.80,后置指纹 ,2019/10/,2019,10,,5000
