型号,brand,index_zol,price,OLED,IP,full screen,screen_size,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,device_length,device_width,device_thickness,fingerprint_type,release date,releaseY,releaseM,wireless_charge,battery vol
vivo Z5（6GB/64GB/全网通）,vivo手机,1286140,2198,1,,1,6.38,3,4800,800,200,,,1,2400,,,,,高通,高通 骁龙712,6,64,,2340x1080像素,404ppi,159.43,75.23,,屏幕指纹 ,2019/07/31,2019,07,,4500
vivo X25（全网通）,vivo手机,1252491,,1,,1,,2,2400,1600,,,,1,1600,,,,,高通,高通 骁龙710,6,128,,,245ppi,159.53,,8.85,,2019/>,2019,,,4000
vivo Z5x（6GB/64GB/全网通）,vivo手机,1275808,,,,1,6.53,3,1600,800,200,,,1,800,,,,,高通,高通 骁龙710,6,64,,2340x1080像素,,,77.33,7.98,,2019/05/24,2019,05,,5000
vivo NEX（全网通/5G版）,vivo手机,1272322,,1,,1,6.59,3,1200,2400,500,,,1,1200,2400,,,,高通,高通 骁龙855,6,128,1,2316x1080像素,388ppi,162.39,77,7.89,后置指纹 ,2019/>,2019,,,4000
vivo Z1（6GB RAM/全网通）,vivo手机,1216106,,0,,1,6.257,2,1300,200,,,,2,1600,,,,,高通,高通 骁龙660AIE,6,64,,2280x1080像素,403ppi,162,75.03,8.89,后置指纹 ,2018/06/04,2018,06,,
vivo U3（6GB/64GB/全网通）,vivo手机,1297410,,0,,1,6.53,3,1600,800,200,,,1,,,,,,高通,高通 骁龙675,6,64,,2340x1080像素,394ppi,154.81,76.47,8.09,后置指纹 ,2019/10/,2019,10,,5000
vivo NEX双屏版（8GB RAM/全网通）,vivo手机,1256894,,1,,1,6.39,2,1200,200,,,,,800,,,,,高通,高通 骁龙845,8,256,,2340x1080像素,,162.15,75.3,8.92,屏幕指纹 ,2018/12/29,2018,12,,3500
vivo U3x（4GB/64GB/全网通）,vivo手机,1294181,,,,1,6.35,3,1300,800,200,,,1,3200,,,,,高通,高通 骁龙665,4,64,,,268ppi,157.19,76.77,,后置指纹 ,2019/9/,2019,9,,5000
vivo S1 Pro（6GB/128GB/全网通）,vivo手机,1277843,,1,,1,6.39,3,4800,800,500,,,1,3200,,,,,高通,高通 骁龙675AIE,6,128,,2340x1080像素,403ppi,159.43,,8.80,屏幕指纹 ,2019/05/,2019,05,,3700
vivo X30 Pro（8GB/256GB/全网通/5G版）,vivo手机,1305161,3998,1,,1,6.44,4,6400,1300,800,3200,,1,,,,,,三星,三星 Exynos 980,8,256,1,2400x1080像素,,,74.10,8.09,屏幕指纹 ,2019/12/16,2019,12,,4350
vivo NEX双屏版（移动全网通）,vivo手机,1246772,,1,,1,6.39,2,1200,200,,,,,2500,,,,,高通,高通 骁龙845,10,128,,2340x1080像素,,158.45,75.3,,屏幕指纹 ,2018/12/29,2018,12,,3500
vivo APEX 2019（全网通）,vivo手机,1251180,,,,1,6.5,2,4800,1600,,,,1,800,,,,,高通,高通 骁龙855,12,512,1,2340x1080像素,396ppi,157.19,,7.98,屏幕指纹 ,2019/>,2019,,,4500
vivo NEX（8GB RAM/全网通）,vivo手机,1230224,,1,,1,6.59,3,1200,2400,500,,,1,3200,,,,,高通,高通 骁龙710,8,128,,2316x1080像素,388ppi,,77,,后置指纹 ,2018/06/,2018,06,,4000
vivo S1 Pro（8GB/128GB/全网通）,vivo手机,1271774,,1,,1,6.39,3,4800,800,500,,,1,2400,,,,,高通,高通 骁龙675AIE,8,128,,2340x1080像素,403ppi,162,,,屏幕指纹 ,2019/05/,2019,05,,3700
vivo V9（全网通）,vivo手机,1208741,,,,1,6.3,2,1600,500,,,,1,800,,,,,高通,高通 骁龙626（MSM8953 Pro）,4,64,,2280x1080像素,400ppi,,,9.11,后置指纹 ,2018/>,2018,,,
vivo Y30（4GB/64GB/全网通）,vivo手机,1329109,,,,1,6.47,4,1300,800,200,200,,1,1200,,,,,联发科,联发科 MT6765,4,64,,,,,76.46,,后置指纹 ,2020/06/,2020,06,,5000
vivo Xplay7（全网通）,vivo手机,1177165,,,,1,,1,1200,,,,,1,2400,,,,,高通,高通 骁龙850,10,128,,,,162.04,,6.99,前置指纹 ,2018/>,2018,,,
vivo X21i（4GB RAM/移动全网通）,vivo手机,1255027,,1,,0,6.28,3,1200,2400,500,,,1,2480,,,,,联发科,联发科 Helio P60（MT6771）,4,128,,2280x1080像素,402ppi,,74.98,8.54,后置指纹 ,2018/>,2018,,,
vivo S1（6GB/64GB/全网通）,vivo手机,1298322,,,,1,6.53,4,1200,2400,800,500,,1,800,,,,,联发科,联发科 Helio P70,6,64,,2340x1080像素,,154.37,75.93,8.28,后置指纹 ,2019/03/,2019,03,,3940
vivo U1（4GB RAM/全网通）,vivo手机,1256856,,,,1,6.2,2,1300,200,,,,1,2000,,,,,高通,高通 骁龙439,4,64,,,,161.97,75.09,8.92,后置指纹 ,2019/02/,2019,02,,4030
vivo Y17（4GB/128GB/全网通）,vivo手机,1283101,,,,1,6.35,3,1300,800,200,,,1,3200,800,,,,联发科,联发科 MT6765,4,128,,,,155.11,76.77,9.8,后置指纹 ,2019/>,2019,,,5000
vivo V17 Pro（8GB/128GB/全网通） ,vivo手机,1290915,,1,,1,6.44,4,4800,1300,800,200,,2,2000,,,,,高通,高通 骁龙675AIE,8,128,,2400x1080像素,,159.43,74.7,,,2019/>,2019,,,4100
vivo V5s（全网通）,vivo手机,1169949,,,,,,1,2000,,,,,1,3200,,,,,联发科,联发科 MT6750,4,64,,,267ppi,159,,,前置指纹 ,2017/>,2017,,,
vivo V15（全网通）,vivo手机,1255319,,1,,1,,3,4800,800,500,,,1,1600,,,,,高通,高通 骁龙675,6,128,,,245ppi,,,7.89,,2019/>,2019,,,4000
vivo Z1青春版（4GB/64GB/全网通）,vivo手机,1272497,,,,1,6.26,2,1600,200,,,,1,800,,,,,高通,高通 骁龙626,4,64,,2280x1080像素,403ppi,,75.03,8.92,后置指纹 ,2018/10/,2018,10,,
vivo U3x（3GB/64GB/全网通）,vivo手机,1294177,,,,1,6.35,3,1300,800,200,,,1,2500,,,,,高通,高通 骁龙665,3,64,,,268ppi,154.81,76.77,,后置指纹 ,2019/9/,2019,9,,5000
vivo V11（全网通）,vivo手机,1228574,,1,,1,6.41,2,1200,200,,,,1,,,,,,高通,高通 骁龙660,6,128,,,,159.43,,,,2018/>,2018,,,3400
vivo Y90,vivo手机,1282545,,,,,,,,,,,,,,,,,,800万像素,800万像素,2,16,,,40ppi,,,,,2019/07/,2019,07,,
vivo APEX概念机（全网通）,vivo手机,1208362,,,,1,,,,,,,,,1600,,,,,高通,高通 骁龙845,,,,,,,,,,2018/>,2018,,,
vivo U20（全网通）,vivo手机,1300327,,1,,1,6.53,3,1600,800,200,,,1,3200,,,,,高通,高通 骁龙675,4,64,,,258ppi,,,8.68,后置指纹 ,2019/>,2019,,,4000
vivo G1（8GB/128GB/全网通/5G版/警务版）,vivo手机,1322302,,1,,1,6.44,4,4800,800,200,200,,1,3200,800,,,,三星,三星 Exynos 980,8,128,1,2400x1080像素,,,74.40,,屏幕指纹 ,2020/05/,2020,05,,4500
vivo S6 Pro（全网通/5G版）,vivo手机,1327645,,1,,1,,4,6400,800,200,200,,2,800,,,,,高通,高通 骁龙765G,,,1,,,161.50,,8.92,屏幕指纹 ,2020/>,2020,,,4200
vivo Y12（3GB/64GB/全网通）,vivo手机,1329055,,,,1,6.35,3,1300,800,200,,,1,3200,,,,,联发科,联发科 MT6762,3,64,,,268ppi,,76.77,8.21,后置指纹 ,2019/>,2019,,,5000
vivo V15 Pro（全网通）,vivo手机,1255323,,1,,1,6.39,3,4800,800,500,,,1,1600,,,,,高通,高通 骁龙675,,128,,2340x1080像素,403ppi,159.43,74.71,8.85,屏幕指纹 ,2019/>,2019,,,3700
vivo Z1 Pro（全网通）,vivo手机,1280702,,,,1,6.53,3,1600,800,200,,,1,2000,,,,,高通,高通 骁龙712,8,128,,2340x1080像素,394ppi,157.25,77.33,7.26,,2019/07/,2019,07,,5000
vivo V5 Plus（全网通）,vivo手机,1164208,,,,,,1,2000,,,,,1,1200,200,,,,高通,高通 骁龙625（MSM8953）,4,64,,1920x1080像素,401ppi,162.39,74,8.09,前置指纹 ,2017/>,2017,,,
vivo V1820T（全网通）,vivo手机,1248809,,1,,1,6.39,3,1200,1300,200,,,2,,,,,,高通,高通 骁龙710AIE,8,128,,2340x1080像素,404ppi,152.58,75.3,,屏幕指纹 ,2019/01/>,2019,01,,3425
vivo Y83 Pro（全网通）,vivo手机,1228565,,,,1,6.22,2,1300,200,,,,,800,,,,,1300万像素+200万像素,1300万像素+200万像素,4,64,,,,157.19,,,,2018/>,2018,,,
vivo U10（全网通）,vivo手机,1294441,,1,,1,6.53,3,1300,800,200,,,1,2400,,,,,高通,高通 骁龙665,,32,,,258ppi,,,,后置指纹 ,2019/>,2019,,,5000
vivo Z10（全网通）,vivo手机,1222132,,,,,,1,2400,,,,,1,500,,,,,高通,高通 骁龙450,4,32,,,269ppi,,,,后置指纹 ,2018/>,2018,,,
vivo 1916（全网通）,vivo手机,1286805,,,,,,,,,,,,1,,,,,,高通,高通 骁龙665,3,32,,,40ppi,,,,,2019/>,2019,,,
vivo 1805（全网通）,vivo手机,1222104,,,,,,,,,,,,,800,,,,,高通,高通 骁龙845,8,,,,,,,8.41,,2018/>,2018,,,
vivo Y20i（3GB/64GB/全网通/5G版）,vivo手机,1338633,,,,1,6.51,3,1300,200,200,,,1,3200,,,,,高通,高通 骁龙460,3,64,,,,,76.32,8.83,侧面指纹,2020/8/,2020,8,,5000
vivo X50 Pro+（12GB/256GB/全网通/5G版/aw联名限定版）,vivo手机,1338808,5998,1,,1,6.56,4,5000,3200,1300,1300,,1,,,,,,高通,高通 骁龙865,12,256,1,2376x1080像素,398ppi,164.41,73,9.9,屏幕指纹 ,2020/>,2020,,,4350
vivo S7i（t） 2012版（移动版）,vivo手机,367320,,,,,,,,,,,,,,,,,,,,,4,,,233ppi,158.5,64,8.28,,2013/,2013,,,
vivo Y93（4GB RAM/全网通）,vivo手机,1237418,,0,,1,,,,,,,,,,,,,,,,,64,,,270ppi,123,75.09,9.9,,2018/11/,2018,11,,
vivo S7 2012版(全网通）,vivo手机,325644,,,,,,,,,,,,,,,,,,,,,4,,,233ppi,155.11,64,9.9,,2012/06/,2012,06,,
vivo S7t 2012版（移动版）,vivo手机,359833,,,,,,,,,,,,,3200,,,,,,,,4,,,233ppi,123,64,7.6,,2013/,2013,,,
OPPO Reno4 Pro（8GB/128GB/全网通/5G版）,OPPO手机,1326541,3799,1,,1,6.5,3,4800,1200,1300,,,1,3200,,,,,高通,高通 骁龙765G,8,128,1,2400x1080像素,402ppi,123,72.5,3000（普通模式），前置最大尺寸为 6560,屏幕指纹 ,2020/06/5,2020,06,,4000
OPPO Find X2 Pro（12GB/256GB/全网通/5G版）,OPPO手机,1313854,5999,1,IP68,1,6.7,3,4800,4800,1300,,,1,3200,200,,,,高通,高通 骁龙865,12,256,1,,513ppi,159.6,6000（4800万像素模式）及4000,7.8,屏幕指纹 ,2020/3/6,2020,3,,4260
OPPO Reno4（8GB/128GB/全网通/5G版）,OPPO手机,1322834,2999,1,,1,6.4,3,4800,800,200,,,2,1600,200,,,,高通,高通 骁龙765G,8,128,1,2400x1080像素,409ppi,"3.84mm前置摄像头孔径
超感多焦段影像系统
后置主摄镜头：1/1.4""感光面积，全像素全向对焦，双原生ISO，最高12 bit超精图像采集
超广角镜头：1/2""感光面积，3cm超级微距
对焦方式：反差对焦+相位对焦+激光对焦
防抖：OIS光学防抖+EIS电子防抖
图像尺寸：后置最大尺寸为8000",74,8.1,屏幕指纹 ,2020/06/5,2020,06,,4020
OPPO A92s（6GB/128GB/全网通/5G版）,OPPO手机,1318728,1999,0,,1,6.57,4,4800,800,200,200,,2,1600,,,,,联发科,联发科 天玑800,6,128,1,2400x1080像素,401ppi,159.3,75.5,8.6,侧面指纹,2020/04/30,2020,04,,4000
OPPO Ace2（8GB/128GB/全网通/5G版）,OPPO手机,1316807,3299,1,,1,6.55,4,4800,800,200,200,,1,800,,,,,高通,高通 骁龙865,8,128,1,2400x1080像素,402ppi,163.8,75.4,7.9,屏幕指纹 ,2020/4/13,2020,4,1,4000
OPPO A72（8GB/128GB/全网通/5G版）,OPPO手机,1320397,1799,,,1,6.5,3,1600,800,200,,,1,1600,,,,,联发科,联发科 天玑720,8,128,1,2400x1080像素,,160,75,,侧面指纹,2020/07/,2020,07,,4040
OPPO Reno Ace（8GB/128GB/全网通）,OPPO手机,1292109,2699,1,,1,6.5,4,4800,1300,800,200,,1,3200,,,,,高通,高通 骁龙855 Plus,8,128,,2400x1080像素,402ppi,162.2,,3000（普通模式），前置最大尺寸为 6560,屏幕指纹 ,2019/10/10,2019,10,,4000
OPPO Find X2（8GB/128GB/全网通/5G版）,OPPO手机,1280310,4499,1,IP54,1,6.7,3,4800,1200,1300,,,1,3200,,,,,高通,高通 骁龙865,8,128,1,,513ppi,,6000（4800万像素模式）及4000,7.96,屏幕指纹 ,2020/3/6,2020,3,,4200
OPPO K7（8GB/128GB/全网通/5G版）,OPPO手机,1334225,1999,1,,1,6.44,4,4800,800,200,200,,1,3200,,,,,高通,高通 骁龙765G,8,128,1,2400x1080像素,,"超感多焦段影像系统
3.84mm前置摄像头孔径
后置主摄镜头：1/2""感光面积
超广角镜头：1/2.4""感光面积，3cm微距
对焦方式：反差对焦+相位对焦+激光对焦
防抖：OIS光学防抖+EIS电子防抖
图像尺寸：后置最大尺寸为8000",74.3,7.96,屏幕指纹 ,2020/>,2020,,,4025
OPPO Reno3（8GB/128GB/全网通/5G版）,OPPO手机,1300919,2699,1,,1,6.4,4,6400,800,200,200,,1,800,,,,,联发科,联发科 天玑1000L,8,128,1,2400x1080像素,408ppi,160.3,74.3,,屏幕指纹 ,2019/12/26,2019,12,,4025
OPPO A8（4GB/128GB/全网通）,OPPO手机,1305856,1199,,,1,6.5,3,1200,200,200,,,1,800,,,,,联发科,联发科 Helio P35（MT6765）,4,128,,,,160.3,,8.9,后置指纹 ,2019/12/26,2019,12,,4230
OPPO A52（8GB/128GB/全网通）,OPPO手机,1319916,1599,0,,1,6.5,4,1200,800,200,200,,1,800,,,,,高通,高通 骁龙665,8,128,,2400x1080像素,405ppi,,75.5,,侧面指纹,2020/04/,2020,04,,5000
OPPO A11（4GB/128GB/全网通）,OPPO手机,1295487,1099,0,,1,6.5,4,1200,800,200,200,,1,3200,,,,,高通,高通 骁龙665,4,128,,,270ppi,162,,8.55,后置指纹 ,2019/10/,2019,10,,5000
OPPO K5（6GB/128GB/全网通）,OPPO手机,1294112,1699,1,,1,6.4,4,6400,800,200,200,,1,3200,,,,,高通,高通 骁龙730G,6,128,,2340x1080像素,402ppi,,75.16,7.6,屏幕指纹 ,2019/10/10,2019,10,,4000
OPPO Reno4 Pro（12GB/256GB/全网通/5G版）,OPPO手机,1326648,4299,1,,1,6.5,3,4800,1200,1300,,,1,1600,,,,,高通,高通 骁龙765G,12,256,1,2400x1080像素,402ppi,158.7,72.5,,屏幕指纹 ,2020/06/5,2020,06,,4000
OPPO A11x（8GB/128GB/全网通）,OPPO手机,1293959,1599,0,,1,6.5,4,4800,800,200,200,,1,1600,,,,,高通,高通 骁龙665,8,128,,,269ppi,159.6,,,后置指纹 ,2019/>,2019,,,5000
OPPO A91（8GB/128GB/全网通）,OPPO手机,1305852,1599,1,,1,6.4,4,4800,800,200,200,,1,3200,,,,,联发科,联发科 Helio P70,8,128,,2400x1080像素,,,,,屏幕指纹 ,2019/12/26,2019,12,,4000
OPPO Reno3 Pro（8GB/128GB/全网通/5G版）,OPPO手机,1302451,3499,1,,1,6.5,4,4800,1300,800,200,,1,800,,,,,高通,高通 骁龙765G,8,128,1,2400x1080像素,,,,8.2,屏幕指纹 ,2019/12/26,2019,12,,4025
OPPO A5（4GB RAM/全网通）,OPPO手机,1221126,899,0,,1,6.2,2,1300,200,,,,1,3200,,,,,高通,高通 骁龙450B,4,64,,,271ppi,,75.6,3000（普通模式），前置最大尺寸为 6560,,2018/07/05,2018,07,,4230
OPPO Find X2（8GB/256GB/全网通/5G版）,OPPO手机,1313856,4999,1,IP54,1,6.7,3,4800,1200,1300,,,1,1600,,,,,高通,高通 骁龙865,8,256,1,,513ppi,156.2,6000（4800万像素模式）及4000,9,屏幕指纹 ,2020/3/6,2020,3,,4200
OPPO Reno（6GB RAM/128GB/全网通）,OPPO手机,1261155,,1,,1,6.4,2,4800,500,,,,1,2500,,,,,高通,高通 骁龙710,6,128,,2340x1080像素,402ppi,"超感多焦段影像系统
3.84mm前置摄像头孔径
后置主摄镜头：1/2""感光面积
超广角镜头：1/2.4""感光面积，3cm微距
对焦方式：反差对焦+相位对焦+激光对焦
防抖：OIS光学防抖+EIS电子防抖
图像尺寸：后置最大尺寸为8000",74.3,9.6,屏幕指纹 ,2019/04/10,2019,04,,3765
OPPO Find X（标准版/全网通）,OPPO手机,1213467,,1,,1,6.42,2,2000,1600,,,,1,1600,,,,,高通,高通 骁龙845,8,128,,2340x1080像素,401ppi,156.6,74.2,,,2018/07/13,2018,07,,3730
OPPO Reno2（8GB/128GB/全网通）,OPPO手机,1288887,1999,1,,1,6.5,4,4800,1300,800,200,,1,1600,,,,,高通,高通 骁龙730G,8,128,,2400x1080像素,401ppi,156.7,,,屏幕指纹 ,2019/09/10,2019,09,,4000
OPPO A9（6GB/128GB/全网通）,OPPO手机,1270291,,,,1,6.53,2,1600,200,,,,1,3200,200,,,,联发科,联发科 Helio P70,6,128,,2340x1080像素,,,,7.8,后置指纹 ,2019/04/,2019,04,,4020
OPPO Reno4（8GB/256GB/全网通/5G版）,OPPO手机,1326647,3299,1,,1,6.4,3,4800,800,200,,,2,1600,,,,,高通,高通 骁龙765G,8,256,1,2400x1080像素,409ppi,,74,8.6,屏幕指纹 ,2020/06/5,2020,06,,4020
OPPO Ace2（8GB/256GB/全网通/5G版）,OPPO手机,1318293,3699,1,,1,6.55,4,4800,800,200,200,,1,1600,200,,,,高通,高通 骁龙865,8,256,1,2400x1080像素,402ppi,159.3,75.4,8.1,屏幕指纹 ,2020/4/13,2020,4,1,4000
OPPO A92s（8GB/128GB/全网通/5G版）,OPPO手机,1319752,2199,0,,1,6.57,4,4800,800,200,200,,2,3200,,,,,联发科,联发科 天玑800,8,128,1,2400x1080像素,,160,75.5,7.96,侧面指纹,2020/04/30,2020,04,,4000
OPPO Reno3（8GB/128GB/全网通/5G版/元气版）,OPPO手机,1310548,,1,,1,6.4,4,4800,800,200,200,,1,1600,,,,,高通,高通 骁龙765,8,128,1,2400x1080像素,408ppi,163.8,74.3,9.4,屏幕指纹 ,2019/12/26,2019,12,,4025
OPPO K3（6GB/64GB/全网通）,OPPO手机,1249492,1399,1,,1,6.5,2,1600,200,,,,1,800,,,,,高通,高通 骁龙710,6,64,,2340x1080像素,394ppi,160.3,76,,屏幕指纹 ,2019/05/,2019,05,,3765
OPPO A11（4GB/64GB/全网通）,OPPO手机,1318903,,0,,1,6.5,4,1200,800,200,200,,1,1600,200,,,,高通,高通 骁龙665,4,64,,,270ppi,161.2,,8.1,后置指纹 ,2019/10/,2019,10,,5000
OPPO A92s（8GB/256GB/全网通/5G版）,OPPO手机,1325348,2499,0,,1,6.57,4,4800,800,200,200,,2,1600,,,,,联发科,联发科 天玑800,8,256,1,2400x1080像素,,,75.5,8.7,侧面指纹,2020/04/30,2020,04,,4000
OPPO Reno2 Z（8GB/128GB/全网通）,OPPO手机,1290000,1699,1,,1,6.5,4,4800,800,200,200,,1,1600,,,,,联发科,联发科 Helio P90,8,128,,2340x1080像素,,163.8,75.8,9.3,屏幕指纹 ,2019/10/,2019,10,,4000
OPPO Reno 10倍变焦版（8GB/256GB/全网通）,OPPO手机,1267000,,1,,1,6.6,3,4800,1300,800,,,1,3200,,,,,高通,高通 骁龙855,8,256,,2340x1080像素,387ppi,161.8,77.2,7.6,屏幕指纹 ,2019/04/10,2019,04,,4065
OPPO Reno4 Pro（12GB/256GB/全网通/5G版/艺术家限定版）,OPPO手机,1336132,,1,,1,6.5,3,4800,1200,1300,,,1,2500,,,,,高通,高通 骁龙765G,12,256,1,2400x1080像素,402ppi,162,72.5,7.4,屏幕指纹 ,2020/8/21,2020,8,,4000
OPPO K1（4GB RAM/全网通）,OPPO手机,1233423,1199,1,,1,6.4,2,1600,200,,,,1,1600,,,,,高通,高通 骁龙660AIE,4,64,,2340x1080像素,403ppi,159.6,75.5,,屏幕指纹 ,2018/10/10,2018,10,,3600
OPPO A9（4GB/128GB/全网通）,OPPO手机,1288979,,,,1,6.53,2,1600,200,,,,1,1600,,,,,联发科,联发科 Helio P70,4,128,,,,158.3,,8.1,后置指纹 ,2019/04/,2019,04,,4020
OPPO A7（4GB RAM/全网通）,OPPO手机,1232384,,0,,1,6.2,2,1300,200,,,,1,3200,,,,,高通,高通 骁龙450B,4,64,,,271ppi,,75.4,9.1,后置指纹 ,2018/11/,2018,11,,4230
OPPO Reno Z（6GB/256GB/全网通）,OPPO手机,1273752,,1,,1,6.4,2,4800,500,,,,1,3200,,,,,联发科,联发科 Helio P90,6,256,,2340x1080像素,403ppi,155.9,74.9,8.55,屏幕指纹 ,2019/05/,2019,05,,4035
OPPO K5（8GB/128GB/全网通）,OPPO手机,1295762,1699,1,,1,6.4,4,6400,800,200,200,,1,1600,,,,,高通,高通 骁龙730G,8,128,,2340x1080像素,402ppi,157.3,75.16,8.6,屏幕指纹 ,2019/10/10,2019,10,,4000
OPPO Ace2（12GB/256GB/全网通/5G版）,OPPO手机,1318294,3999,1,,1,6.55,4,4800,800,200,200,,1,1600,,,,,高通,高通 骁龙865,12,256,1,2400x1080像素,402ppi,158.7,75.4,9.3,屏幕指纹 ,2020/4/13,2020,4,1,4000
OPPO Reno 10倍变焦版（6GB/128GB/全网通）,OPPO手机,1266990,,1,,1,6.6,3,4800,1300,800,,,1,3200,,,,,高通,高通 骁龙855,6,128,,2340x1080像素,387ppi,160,77.2,7.96,屏幕指纹 ,2019/04/10,2019,04,,4065
OPPO K7（8GB/256GB/全网通/5G版）,OPPO手机,1334226,2299,1,,1,6.44,4,4800,800,200,200,,1,3200,,,,,高通,高通 骁龙765G,8,256,1,2400x1080像素,,162,74.3,7.6,屏幕指纹 ,2020/>,2020,,,4025
OPPO Reno4 Pro（12GB/256GB/全网通/5G版/2020夏日定制版）,OPPO手机,1326649,,1,,1,6.5,3,4800,1200,1300,,,1,800,,,,,高通,高通 骁龙765G,12,256,1,2400x1080像素,402ppi,160.3,72.5,,屏幕指纹 ,2020/06/5,2020,06,,4000
OPPO A8（6GB/128GB/全网通）,OPPO手机,1318959,1299,,,1,6.5,3,1200,200,200,,,1,1600,,,,,联发科,联发科 Helio P35（MT6765）,6,128,,,,159.6,,,后置指纹 ,2019/12/26,2019,12,,4230
OPPO A9x（6GB/128GB/全网通） ,OPPO手机,1273495,2029,,,1,6.53,2,4800,500,,,,1,800,,,,,联发科,联发科 Helio P70,6,128,,,,,,,后置指纹 ,2019/>,2019,,,4020
OPPO A11（6GB/128GB/全网通）,OPPO手机,1310016,1299,0,,1,6.5,4,1200,800,200,200,,1,800,,,,,高通,高通 骁龙665,6,128,,,270ppi,,,,后置指纹 ,2019/10/,2019,10,,5000
OPPO A11（6GB/256GB/全网通）,OPPO手机,1310017,1499,0,,1,6.5,4,1200,800,200,200,,1,3200,,,,,高通,高通 骁龙665,6,256,,,270ppi,,,7.96,后置指纹 ,2019/10/,2019,10,,5000
OPPO Reno3（12GB/128GB/全网通/5G版）,OPPO手机,1306809,2699,1,,1,6.4,4,6400,800,200,200,,1,3200,,,,,联发科,联发科 天玑1000L,12,128,1,2400x1080像素,408ppi,,74.3,,屏幕指纹 ,2019/12/26,2019,12,,4025
OPPO Reno3 Pro（12GB/256GB/全网通/5G版）,OPPO手机,1306791,3799,1,,1,6.5,4,4800,1300,800,200,,1,1600,,,,,高通,高通 骁龙765G,12,256,1,2400x1080像素,,160.3,,8.6,屏幕指纹 ,2019/12/26,2019,12,,4025
OPPO Ace2（8GB/256GB/全网通/5G版/EVA限定版）,OPPO手机,1325363,4399,1,,1,6.55,4,4800,800,200,200,,1,3200,,,,,高通,高通 骁龙865,8,256,1,2400x1080像素,402ppi,,75.4,8.55,屏幕指纹 ,2020/05/28,2020,05,1,4000
OPPO K5（8GB/256GB/全网通）,OPPO手机,1295765,1999,1,,1,6.4,4,6400,800,200,200,,1,1600,,,,,高通,高通 骁龙730G,8,256,,2340x1080像素,402ppi,160,75.16,,屏幕指纹 ,2019/10/10,2019,10,,4000
OPPO Reno Ace（8GB/256GB/全网通）,OPPO手机,1295809,2899,1,,1,6.5,4,4800,1300,800,200,,1,3200,,,,,高通,高通 骁龙855 Plus,8,256,,2400x1080像素,402ppi,158.7,,7.96,屏幕指纹 ,2019/10/10,2019,10,,4000
OPPO Find X2 Lite（8GB/128GB/全网通/5G版）,OPPO手机,1319794,,1,,1,6.4,4,4800,800,200,200,,1,800,,,,,高通,高通 骁龙765G,8,128,1,2400x1080像素,411ppi,,74.3,8.2,屏幕指纹 ,2020/04/,2020,04,,4025
OPPO A5（3GB RAM/全网通）,OPPO手机,1233928,799,0,,1,6.2,2,1300,200,,,,1,2500,,,,,高通,高通 骁龙450B,3,32,,,271ppi,160.3,75.6,9.6,,2018/07/05,2018,07,,4230
OPPO Find X兰博基尼版（全网通）,OPPO手机,1220645,,1,,1,6.42,2,2000,1600,,,,1,1600,,,,,高通,高通 骁龙845,8,512,,2340x1080像素,401ppi,156.2,74.2,9.4,,2018/08/,2018,08,,3400
OPPO K3（8GB/128GB/全网通）,OPPO手机,1275905,1799,1,,1,6.5,2,1600,200,,,,1,1600,800,500,,,高通,高通 骁龙710,8,128,,2340x1080像素,394ppi,156.7,76,,屏幕指纹 ,2019/05/,2019,05,,3765
OPPO R19（全网通）,OPPO手机,1248873,,,,1,6.4,1,4000,,,,,3,2500,,,,,高通,高通 骁龙725,6,128,,2340x1080像素,,161.2,,7.4,屏幕指纹 ,2019/>,2019,,,3700
OPPO K1（6GB RAM/全网通）,OPPO手机,1233711,1399,1,,1,6.4,2,1600,200,,,,1,1600,,,,,高通,高通 骁龙660AIE,6,64,,2340x1080像素,403ppi,,75.5,,屏幕指纹 ,2018/10/10,2018,10,,3600
OPPO Reno Ace（12GB/256GB/全网通）,OPPO手机,1295810,,1,,1,6.5,4,4800,1300,800,200,,1,3200,,,,,高通,高通 骁龙855 Plus,12,256,,2400x1080像素,402ppi,158.3,,3000（普通模式），前置最大尺寸为 6560,屏幕指纹 ,2019/10/10,2019,10,,4000
OPPO Find X2 Pro兰博基尼版（12GB/512GB/全网通/5G版）,OPPO手机,1313858,12999,1,IP68,1,6.7,3,4800,4800,1300,,,1,3200,,,,,高通,高通 骁龙865,12,512,1,,513ppi,,6000（4800万像素模式）及4000,7.6,屏幕指纹 ,2020/3/6,2020,3,,4260
OPPO Reno5 Pro（全网通/5G版）,OPPO手机,1337045,,1,,1,6.5,3,4800,1200,1300,,,1,1600,,,,,高通,高通 骁龙860,,,1,2400x1080像素,,"3.84mm前置摄像头孔径
超感多焦段影像系统
后置主摄镜头：1/1.4""感光面积，全像素全向对焦，双原生ISO，最高12 bit超精图像采集
超广角镜头：1/2""感光面积，3cm超级微距
对焦方式：反差对焦+相位对焦+激光对焦
防抖：OIS光学防抖+EIS电子防抖
图像尺寸：后置最大尺寸为8000",72.5,9.1,屏幕指纹 ,2020/>,2020,,1,4000
