机型,日期,销量,月份,周数,index
Redmi 7,1.20-1.26,39984,1,4,1252207
Redmi 7,1.27-1.31,26817,1,5,1252207
Redmi 7,2.1-2.2,10389,2,5,1252207
Redmi 7,2.3-2.9,28988,2,6,1252207
Redmi 7,2.10-2.16,22932,2,7,1252207
Redmi 7,2.17-2.23,21516,2,8,1252207
Redmi 7,2.24-2.29,17691,2,9,1252207
Redmi 7,3.1-3.5,14433,3,10,1252207
Redmi 7,3.6-3.12,19260,3,11,1252207
Redmi 7,3.13-3.19,17892,3,12,1252207
Redmi 7,3.20-3.26,38279,3,13,1252207
Redmi 7,3.27-3.31,14898,3,14,1252207
Redmi 7,4.1-4.2,6102,4,14,1252207
Redmi 7,4.3-4.9,22452,4,15,1252207
Redmi 7,4.10-4.16,18408,4,16,1252207
Redmi 7,4.17-4.23,16882,4,17,1252207
Redmi 7,4.24-4.30,14129,4,18,1252207
Redmi 7,5.1-5.7,16481,5,19,1252207
Redmi 7,5.8-5.14,22765,5,20,1252207
Redmi 7,5.15-5.21,15913,5,21,1252207
Redmi 7,5.22-5.28,12861,5,22,1252207
Redmi 7,5.29-5.31,5559,5,23,1252207
Redmi 7,6.1-6.4,6458,6,23,1252207
Redmi 7,6.5-6.11,11160,6,24,1252207
Redmi 7,6.12-6.18,10516,6,25,1252207
Redmi 7,6.19-6.25,11850,6,26,1252207
Redmi 7,6.26-6.30,9050,6,27,1252207
Redmi 7,7.1-7.2,3942,7,27,1252207
Redmi 7,7.3-7.9,12534,7,28,1252207
Redmi 7,7.10-7.16,12033,7,29,1252207
Redmi 7,7.17-7.23,10921,7,30,1252207
Redmi 7,7.24-7.30,10678,7,31,1252207
Redmi 7,7.31-7.31,1525,7,32,1252207
Redmi 7,8.1-8.6,9255,8,32,1252207
Redmi 7,8.7-8.13,10645,8,33,1252207
Redmi 7,8.14-8.20,10725,8,34,1252207
Redmi 7,8.21-8.27,9657,8,35,1252207
Redmi 7,8.28-8.31,5498,8,36,1252207
Redmi 7,9.1-9.3,4138,9,36,1252207
Redmi 7,9.4-9.10,10247,9,37,1252207
Redmi 7,9.11-9.17,9322,9,38,1252207
Redmi 7,9.18-9.24,9048,9,39,1252207
Redmi 7,9.25-9.30,6456,9,40,1252207
Redmi 7,10.1,1599,10,40,1252207
Redmi 7,10.2-10.8,8503,10,41,1252207
Redmi 7,10.9-10.15,6645,10,42,1252207
Redmi 7,10.16-10.22,5895,10,43,1252207
Redmi 7A,1.1-1.5,23198,1,1,1275176
Redmi 7A,1.6-1.12,30040,1,2,1275176
Redmi 7A,1.13-1.19,29071,1,3,1275176
Redmi 7A,1.20-1.26,32042,1,4,1275176
Redmi 7A,1.27-1.31,17840,1,5,1275176
Redmi 7A,2.1-2.2,7354,2,5,1275176
Redmi 7A,2.3-2.9,21241,2,6,1275176
Redmi 7A,2.10-2.16,18027,2,7,1275176
Redmi 7A,2.17-2.23,19481,2,8,1275176
Redmi 7A,2.24-2.29,19131,2,9,1275176
Redmi 7A,3.1-3.5,16083,3,10,1275176
Redmi 7A,3.6-3.12,22452,3,11,1275176
Redmi 7A,3.13-3.19,24959,3,12,1275176
Redmi 7A,3.20-3.26,30707,3,13,1275176
Redmi 7A,3.27-3.31,18241,3,14,1275176
Redmi 7A,4.1-4.2,8160,4,14,1275176
Redmi 7A,4.3-4.9,30356,4,15,1275176
Redmi 7A,4.10-4.16,26418,4,16,1275176
Redmi 7A,4.17-4.23,23379,4,17,1275176
Redmi 7A,4.24-4.30,21668,4,18,1275176
Redmi 7A,5.1-5.7,23485,5,19,1275176
Redmi 7A,5.8-5.14,26285,5,20,1275176
Redmi 7A,5.15-5.21,22572,5,21,1275176
Redmi 7A,5.22-5.28,20083,5,22,1275176
Redmi 7A,5.29-5.31,8828,5,23,1275176
Redmi 7A,6.1-6.4,9880,6,23,1275176
Redmi 7A,6.5-6.11,17449,6,24,1275176
Redmi 7A,6.12-6.18,16543,6,25,1275176
Redmi 7A,6.19-6.25,18903,6,26,1275176
Redmi 7A,6.26-6.30,14083,6,27,1275176
Redmi 7A,7.1-7.2,6225,7,27,1275176
Redmi 7A,7.3-7.9,18086,7,28,1275176
Redmi 7A,7.10-7.16,17994,7,29,1275176
Redmi 7A,7.17-7.23,16948,7,30,1275176
Redmi 7A,7.24-7.30,17273,7,31,1275176
Redmi 7A,7.31-7.31,2468,7,32,1275176
Redmi 7A,8.1-8.6,14997,8,32,1275176
Redmi 7A,8.7-8.13,16306,8,33,1275176
Redmi 7A,8.14-8.20,15867,8,34,1275176
Redmi 7A,8.21-8.27,15209,8,35,1275176
Redmi 7A,8.28-8.31,8550,8,36,1275176
Redmi 7A,9.1-9.3,6834,9,36,1275176
Redmi 7A,9.4-9.10,12424,9,37,1275176
Redmi 7A,9.11-9.17,11701,9,38,1275176
Redmi 7A,9.18-9.24,11023,9,39,1275176
Redmi 7A,9.25-9.30,9399,9,40,1275176
Redmi 7A,10.1,3109,10,40,1275176
Redmi 7A,10.2-10.8,14221,10,41,1275176
Redmi 7A,10.9-10.15,10373,10,42,1275176
Redmi 7A,10.16-10.22,10061,10,43,1275176
Redmi 8A,1.1-1.5,37959,1,1,1296328
Redmi 8A,1.6-1.12,48098,1,2,1296328
Redmi 8A,1.13-1.19,54044,1,3,1296328
Redmi 8A,1.20-1.26,65219,1,4,1296328
Redmi 8A,1.27-1.31,38381,1,5,1296328
Redmi 8A,2.1-2.2,15886,2,5,1296328
Redmi 8A,2.3-2.9,43356,2,6,1296328
Redmi 8A,2.10-2.16,37951,2,7,1296328
Redmi 8A,2.17-2.23,41672,2,8,1296328
Redmi 8A,2.24-2.29,42100,2,9,1296328
Redmi 8A,3.1-3.5,36574,3,10,1296328
Redmi 8A,3.6-3.12,52213,3,11,1296328
Redmi 8A,3.13-3.19,52785,3,12,1296328
Redmi 8A,3.20-3.26,69506,3,13,1296328
Redmi 8A,3.27-3.31,37244,3,14,1296328
Redmi 8A,4.1-4.2,16185,4,14,1296328
Redmi 8A,4.3-4.9,61608,4,15,1296328
Redmi 8A,4.10-4.16,56909,4,16,1296328
Redmi 8A,4.17-4.23,54978,4,17,1296328
Redmi 8A,4.24-4.30,51585,4,18,1296328
Redmi 8A,5.1-5.7,61388,5,19,1296328
Redmi 8A,5.8-5.14,69960,5,20,1296328
Redmi 8A,5.15-5.21,57847,5,21,1296328
Redmi 8A,5.22-5.28,52313,5,22,1296328
Redmi 8A,5.29-5.31,25576,5,23,1296328
Redmi 8A,6.1-6.4,28418,6,23,1296328
Redmi 8A,6.5-6.11,50101,6,24,1296328
Redmi 8A,6.12-6.18,51015,6,25,1296328
Redmi 8A,6.19-6.25,61943,6,26,1296328
Redmi 8A,6.26-6.30,46117,6,27,1296328
Redmi 8A,7.1-7.2,20258,7,27,1296328
Redmi 8A,7.3-7.9,62311,7,28,1296328
Redmi 8A,7.10-7.16,61743,7,29,1296328
Redmi 8A,7.17-7.23,59674,7,30,1296328
Redmi 8A,7.24-7.30,59494,7,31,1296328
Redmi 8A,7.31-7.31,8499,7,32,1296328
Redmi 8A,8.1-8.6,50328,8,32,1296328
Redmi 8A,8.7-8.13,56315,8,33,1296328
Redmi 8A,8.14-8.20,55569,8,34,1296328
Redmi 8A,8.21-8.27,50965,8,35,1296328
Redmi 8A,8.28-8.31,30266,8,36,1296328
Redmi 8A,9.1-9.3,19620,9,36,1296328
Redmi 8A,9.4-9.10,41374,9,37,1296328
Redmi 8A,9.11-9.17,38380,9,38,1296328
Redmi 8A,9.18-9.24,34873,9,39,1296328
Redmi 8A,9.25-9.30,26698,9,40,1296328
Redmi 8A,10.1,8506,10,40,1296328
Redmi 8A,10.2-10.8,40046,10,41,1296328
Redmi 8A,10.9-10.15,27008,10,42,1296328
Redmi 8A,10.16-10.22,27438,10,43,1296328
Redmi 9,1.1-1.5,nan,1,1,1305658
Redmi 9,1.6-1.12,nan,1,2,1305658
Redmi 9,1.13-1.19,nan,1,3,1305658
Redmi 9,1.20-1.26,nan,1,4,1305658
Redmi 9,1.27-1.31,nan,1,5,1305658
Redmi 9,2.1-2.2,nan,2,5,1305658
Redmi 9,2.3-2.9,nan,2,6,1305658
Redmi 9,2.10-2.16,nan,2,7,1305658
Redmi 9,2.17-2.23,nan,2,8,1305658
Redmi 9,2.24-2.29,nan,2,9,1305658
Redmi 9,3.1-3.5,nan,3,10,1305658
Redmi 9,3.6-3.12,nan,3,11,1305658
Redmi 9,3.13-3.19,nan,3,12,1305658
Redmi 9,3.20-3.26,nan,3,13,1305658
Redmi 9,3.27-3.31,nan,3,14,1305658
Redmi 9,4.1-4.2,nan,4,14,1305658
Redmi 9,4.3-4.9,nan,4,15,1305658
Redmi 9,4.10-4.16,nan,4,16,1305658
Redmi 9,4.17-4.23,nan,4,17,1305658
Redmi 9,4.24-4.30,nan,4,18,1305658
Redmi 9,5.1-5.7,nan,5,19,1305658
Redmi 9,5.8-5.14,nan,5,20,1305658
Redmi 9,5.15-5.21,nan,5,21,1305658
Redmi 9,5.22-5.28,nan,5,22,1305658
Redmi 9,5.29-5.31,nan,5,23,1305658
Redmi 9,6.1-6.4,nan,6,23,1305658
Redmi 9,6.5-6.11,nan,6,24,1305658
Redmi 9,6.12-6.18,nan,6,25,1305658
Redmi 9,6.19-6.25,nan,6,26,1305658
Redmi 9,6.26-6.30,898,6,27,1305658
Redmi 9,7.1-7.2,4395,7,27,1305658
Redmi 9,7.3-7.9,14595,7,28,1305658
Redmi 9,7.10-7.16,17320,7,29,1305658
Redmi 9,7.17-7.23,20967,7,30,1305658
Redmi 9,7.24-7.30,25005,7,31,1305658
Redmi 9,7.31-7.31,3572,7,32,1305658
Redmi 9,8.1-8.6,25065,8,32,1305658
Redmi 9,8.7-8.13,30533,8,33,1305658
Redmi 9,8.14-8.20,33744,8,34,1305658
Redmi 9,8.21-8.27,33869,8,35,1305658
Redmi 9,8.28-8.31,19553,8,36,1305658
Redmi 9,9.1-9.3,12575,9,36,1305658
Redmi 9,9.4-9.10,31776,9,37,1305658
Redmi 9,9.11-9.17,35126,9,38,1305658
Redmi 9,9.18-9.24,34949,9,39,1305658
Redmi 9,9.25-9.30,30214,9,40,1305658
Redmi 9,10.1,6982,10,40,1305658
Redmi 9,10.2-10.8,44989,10,41,1305658
Redmi 9,10.9-10.15,39246,10,42,1305658
Redmi 9,10.16-10.22,40840,10,43,1305658
Redmi K20,1.1-1.5,7855,1,1,1270952
Redmi K20,1.6-1.12,10894,1,2,1270952
Redmi K20,1.13-1.19,7994,1,3,1270952
Redmi K20,1.20-1.26,7171,1,4,1270952
Redmi K20,1.27-1.31,4094,1,5,1270952
Redmi K20,2.1-2.2,1316,2,5,1270952
Redmi K20,2.3-2.9,3746,2,6,1270952
Redmi K20,2.10-2.16,2875,2,7,1270952
Redmi K20,2.17-2.23,2873,2,8,1270952
Redmi K20,2.24-2.29,2520,2,9,1270952
Redmi K20,3.1-3.5,2243,3,10,1270952
Redmi K20,3.6-3.12,2472,3,11,1270952
Redmi K20,3.13-3.19,2873,3,12,1270952
Redmi K20,3.20-3.26,5090,3,13,1270952
Redmi K20,3.27-3.31,1536,3,14,1270952
Redmi K20,4.1-4.2,617,4,14,1270952
Redmi K20,4.3-4.9,2098,4,15,1270952
Redmi K20,4.10-4.16,1956,4,16,1270952
Redmi K20,4.17-4.23,2591,4,17,1270952
Redmi K20,4.24-4.30,1944,4,18,1270952
Redmi K20,5.1-5.7,2256,5,19,1270952
Redmi K20,5.8-5.14,2665,5,20,1270952
Redmi K20,5.15-5.21,1645,5,21,1270952
Redmi K20,5.22-5.28,1358,5,22,1270952
Redmi K20,5.29-5.31,578,5,23,1270952
Redmi K20,6.1-6.4,678,6,23,1270952
Redmi K20,6.5-6.11,1432,6,24,1270952
Redmi K20,6.12-6.18,1545,6,25,1270952
Redmi K20,6.19-6.25,3092,6,26,1270952
Redmi K20,6.26-6.30,2961,6,27,1270952
Redmi K20,7.1-7.2,397,7,27,1270952
Redmi K20,7.3-7.9,877,7,28,1270952
Redmi K20,7.10-7.16,854,7,29,1270952
Redmi K20,7.17-7.23,1235,7,30,1270952
Redmi K20,7.24-7.30,952,7,31,1270952
Redmi K20,7.31-7.31,136,7,32,1270952
Redmi K20,8.1-8.6,1090,8,32,1270952
Redmi K20,8.7-8.13,1223,8,33,1270952
Redmi K20,8.14-8.20,1216,8,34,1270952
Redmi K20,8.21-8.27,1330,8,35,1270952
Redmi K20,8.28-8.31,1082,8,36,1270952
Redmi K20,9.1-9.3,751,9,36,1270952
Redmi K20,9.4-9.10,1405,9,37,1270952
Redmi K20,9.11-9.17,1219,9,38,1270952
Redmi K20,9.18-9.24,1212,9,39,1270952
Redmi K20,9.25-9.30,2156,9,40,1270952
Redmi K20,10.1,139,10,40,1270952
Redmi K20,10.2-10.8,1049,10,41,1270952
Redmi K20,10.9-10.15,940,10,42,1270952
Redmi K20,10.16-10.22,846,10,43,1270952
Redmi K20 Pro,1.1-1.5,8216,1,1,1275362
Redmi K20 Pro,1.6-1.12,9406,1,2,1275362
Redmi K20 Pro,1.13-1.19,7464,1,3,1275362
Redmi K20 Pro,1.20-1.26,6299,1,4,1275362
Redmi K20 Pro,1.27-1.31,3875,1,5,1275362
Redmi K20 Pro,2.1-2.2,1170,2,5,1275362
Redmi K20 Pro,2.3-2.9,3260,2,6,1275362
Redmi K20 Pro,2.10-2.16,2539,2,7,1275362
Redmi K20 Pro,2.17-2.23,2746,2,8,1275362
Redmi K20 Pro,2.24-2.29,1915,2,9,1275362
Redmi K20 Pro,3.1-3.5,1615,3,10,1275362
Redmi K20 Pro,3.6-3.12,2227,3,11,1275362
Redmi K20 Pro,3.13-3.19,2362,3,12,1275362
Redmi K20 Pro,3.20-3.26,4268,3,13,1275362
Redmi K20 Pro,3.27-3.31,1401,3,14,1275362
Redmi K20 Pro,4.1-4.2,597,4,14,1275362
Redmi K20 Pro,4.3-4.9,2067,4,15,1275362
Redmi K20 Pro,4.10-4.16,1742,4,16,1275362
Redmi K20 Pro,4.17-4.23,1690,4,17,1275362
Redmi K20 Pro,4.24-4.30,1320,4,18,1275362
Redmi K20 Pro,5.1-5.7,1435,5,19,1275362
Redmi K20 Pro,5.8-5.14,1462,5,20,1275362
Redmi K20 Pro,5.15-5.21,1183,5,21,1275362
Redmi K20 Pro,5.22-5.28,1029,5,22,1275362
Redmi K20 Pro,5.29-5.31,422,5,23,1275362
Redmi K20 Pro,6.1-6.4,613,6,23,1275362
Redmi K20 Pro,6.5-6.11,938,6,24,1275362
Redmi K20 Pro,6.12-6.18,950,6,25,1275362
Redmi K20 Pro,6.19-6.25,2006,6,26,1275362
Redmi K20 Pro,6.26-6.30,1584,6,27,1275362
Redmi K20 Pro,7.1-7.2,341,7,27,1275362
Redmi K20 Pro,7.3-7.9,767,7,28,1275362
Redmi K20 Pro,7.10-7.16,738,7,29,1275362
Redmi K20 Pro,7.17-7.23,884,7,30,1275362
Redmi K20 Pro,7.24-7.30,755,7,31,1275362
Redmi K20 Pro,7.31-7.31,108,7,32,1275362
Redmi K20 Pro,8.1-8.6,613,8,32,1275362
Redmi K20 Pro,8.7-8.13,604,8,33,1275362
Redmi K20 Pro,8.14-8.20,651,8,34,1275362
Redmi K20 Pro,8.21-8.27,597,8,35,1275362
Redmi K20 Pro,8.28-8.31,338,8,36,1275362
Redmi K20 Pro,9.1-9.3,285,9,36,1275362
Redmi K20 Pro,9.4-9.10,947,9,37,1275362
Redmi K20 Pro,9.11-9.17,565,9,38,1275362
Redmi K20 Pro,9.18-9.24,739,9,39,1275362
Redmi K20 Pro,9.25-9.30,1033,9,40,1275362
Redmi K20 Pro,10.1,96,10,40,1275362
Redmi K20 Pro,10.2-10.8,469,10,41,1275362
Redmi K20 Pro,10.9-10.15,387,10,42,1275362
Redmi K20 Pro,10.16-10.22,415,10,43,1275362
Redmi K30,1.1-1.5,43880,1,1,1304125
Redmi K30,1.6-1.12,66367,1,2,1304125
Redmi K30,1.13-1.19,76195,1,3,1304125
Redmi K30,1.20-1.26,74658,1,4,1304125
Redmi K30,1.27-1.31,37832,1,5,1304125
Redmi K30,2.1-2.2,23150,2,5,1304125
Redmi K30,2.3-2.9,70854,2,6,1304125
Redmi K30,2.10-2.16,69619,2,7,1304125
Redmi K30,2.17-2.23,69804,2,8,1304125
Redmi K30,2.24-2.29,61660,2,9,1304125
Redmi K30,3.1-3.5,48261,3,10,1304125
Redmi K30,3.6-3.12,81899,3,11,1304125
Redmi K30,3.13-3.19,90507,3,12,1304125
Redmi K30,3.20-3.26,107736,3,13,1304125
Redmi K30,3.27-3.31,74783,3,14,1304125
Redmi K30,4.1-4.2,30183,4,14,1304125
Redmi K30,4.3-4.9,124176,4,15,1304125
Redmi K30,4.10-4.16,125253,4,16,1304125
Redmi K30,4.17-4.23,123432,4,17,1304125
Redmi K30,4.24-4.30,118035,4,18,1304125
Redmi K30,5.1-5.7,125875,5,19,1304125
Redmi K30,5.8-5.14,131948,5,20,1304125
Redmi K30,5.15-5.21,120031,5,21,1304125
Redmi K30,5.22-5.28,114611,5,22,1304125
Redmi K30,5.29-5.31,48539,5,23,1304125
Redmi K30,6.1-6.4,64828,6,23,1304125
Redmi K30,6.5-6.11,116555,6,24,1304125
Redmi K30,6.12-6.18,115120,6,25,1304125
Redmi K30,6.19-6.25,125370,6,26,1304125
Redmi K30,6.26-6.30,88954,6,27,1304125
Redmi K30,7.1-7.2,35724,7,27,1304125
Redmi K30,7.3-7.9,126345,7,28,1304125
Redmi K30,7.10-7.16,127368,7,29,1304125
Redmi K30,7.17-7.23,123334,7,30,1304125
Redmi K30,7.24-7.30,129276,7,31,1304125
Redmi K30,7.31-7.31,18468,7,32,1304125
Redmi K30,8.1-8.6,113166,8,32,1304125
Redmi K30,8.7-8.13,129682,8,33,1304125
Redmi K30,8.14-8.20,127467,8,34,1304125
Redmi K30,8.21-8.27,128351,8,35,1304125
Redmi K30,8.28-8.31,72669,8,36,1304125
Redmi K30,9.1-9.3,51755,9,36,1304125
Redmi K30,9.4-9.10,122714,9,37,1304125
Redmi K30,9.11-9.17,125668,9,38,1304125
Redmi K30,9.18-9.24,122925,9,39,1304125
Redmi K30,9.25-9.30,106263,9,40,1304125
Redmi K30,10.1,20681,10,40,1304125
Redmi K30,10.2-10.8,135702,10,41,1304125
Redmi K30,10.9-10.15,130353,10,42,1304125
Redmi K30,10.16-10.22,128565,10,43,1304125
Redmi K30 5G,1.1-1.5,499,1,1,1290070
Redmi K30 5G,1.6-1.12,20152,1,2,1290070
Redmi K30 5G,1.13-1.19,35759,1,3,1290070
Redmi K30 5G,1.20-1.26,40213,1,4,1290070
Redmi K30 5G,1.27-1.31,19138,1,5,1290070
Redmi K30 5G,2.1-2.2,9050,2,5,1290070
Redmi K30 5G,2.3-2.9,28828,2,6,1290070
Redmi K30 5G,2.10-2.16,29002,2,7,1290070
Redmi K30 5G,2.17-2.23,32171,2,8,1290070
Redmi K30 5G,2.24-2.29,31075,2,9,1290070
Redmi K30 5G,3.1-3.5,25820,3,10,1290070
Redmi K30 5G,3.6-3.12,41331,3,11,1290070
Redmi K30 5G,3.13-3.19,46899,3,12,1290070
Redmi K30 5G,3.20-3.26,53282,3,13,1290070
Redmi K30 5G,3.27-3.31,37868,3,14,1290070
Redmi K30 5G,4.1-4.2,15875,4,14,1290070
Redmi K30 5G,4.3-4.9,67113,4,15,1290070
Redmi K30 5G,4.10-4.16,68762,4,16,1290070
Redmi K30 5G,4.17-4.23,68569,4,17,1290070
Redmi K30 5G,4.24-4.30,65544,4,18,1290070
Redmi K30 5G,5.1-5.7,70968,5,19,1290070
Redmi K30 5G,5.8-5.14,70658,5,20,1290070
Redmi K30 5G,5.15-5.21,68066,5,21,1290070
Redmi K30 5G,5.22-5.28,65259,5,22,1290070
Redmi K30 5G,5.29-5.31,27385,5,23,1290070
Redmi K30 5G,6.1-6.4,36402,6,23,1290070
Redmi K30 5G,6.5-6.11,65693,6,24,1290070
Redmi K30 5G,6.12-6.18,66693,6,25,1290070
Redmi K30 5G,6.19-6.25,68450,6,26,1290070
Redmi K30 5G,6.26-6.30,49142,6,27,1290070
Redmi K30 5G,7.1-7.2,19293,7,27,1290070
Redmi K30 5G,7.3-7.9,68076,7,28,1290070
Redmi K30 5G,7.10-7.16,67949,7,29,1290070
Redmi K30 5G,7.17-7.23,64250,7,30,1290070
Redmi K30 5G,7.24-7.30,67619,7,31,1290070
Redmi K30 5G,7.31-7.31,9660,7,32,1290070
Redmi K30 5G,8.1-8.6,59175,8,32,1290070
Redmi K30 5G,8.7-8.13,83434,8,33,1290070
Redmi K30 5G,8.14-8.20,94078,8,34,1290070
Redmi K30 5G,8.21-8.27,103380,8,35,1290070
Redmi K30 5G,8.28-8.31,57513,8,36,1290070
Redmi K30 5G,9.1-9.3,41289,9,36,1290070
Redmi K30 5G,9.4-9.10,97444,9,37,1290070
Redmi K30 5G,9.11-9.17,101209,9,38,1290070
Redmi K30 5G,9.18-9.24,106525,9,39,1290070
Redmi K30 5G,9.25-9.30,95389,9,40,1290070
Redmi K30 5G,10.1,19230,10,40,1290070
Redmi K30 5G,10.2-10.8,131227,10,41,1290070
Redmi K30 5G,10.9-10.15,124018,10,42,1290070
Redmi K30 5G,10.16-10.22,123619,10,43,1290070
Redmi K30 Pro,1.1-1.5,\,1,1,1313067
Redmi K30 Pro,1.6-1.12,\,1,2,1313067
Redmi K30 Pro,1.13-1.19,\,1,3,1313067
Redmi K30 Pro,1.20-1.26,\,1,4,1313067
Redmi K30 Pro,1.27-1.31,\,1,5,1313067
Redmi K30 Pro,2.1-2.2,\,2,5,1313067
Redmi K30 Pro,2.3-2.9,\,2,6,1313067
Redmi K30 Pro,2.10-2.16,\,2,7,1313067
Redmi K30 Pro,2.17-2.23,\,2,8,1313067
Redmi K30 Pro,2.24-2.29,\,2,9,1313067
Redmi K30 Pro,3.1-3.5,\,3,10,1313067
Redmi K30 Pro,3.6-3.12,\,3,11,1313067
Redmi K30 Pro,3.13-3.19,\,3,12,1313067
Redmi K30 Pro,3.20-3.26,\,3,13,1313067
Redmi K30 Pro,3.27-3.31,\,3,14,1313067
Redmi K30 Pro,4.1-4.2,\,4,14,1313067
Redmi K30 Pro,4.3-4.9,44838,4,15,1313067
Redmi K30 Pro,4.10-4.16,31167,4,16,1313067
Redmi K30 Pro,4.17-4.23,31705,4,17,1313067
Redmi K30 Pro,4.24-4.30,29485,4,18,1313067
Redmi K30 Pro,5.1-5.7,33572,5,19,1313067
Redmi K30 Pro,5.8-5.14,31387,5,20,1313067
Redmi K30 Pro,5.15-5.21,31911,5,21,1313067
Redmi K30 Pro,5.22-5.28,29803,5,22,1313067
Redmi K30 Pro,5.29-5.31,11570,5,23,1313067
Redmi K30 Pro,6.1-6.4,29450,6,23,1313067
Redmi K30 Pro,6.5-6.11,66646,6,24,1313067
Redmi K30 Pro,6.12-6.18,96118,6,25,1313067
Redmi K30 Pro,6.19-6.25,114401,6,26,1313067
Redmi K30 Pro,6.26-6.30,64043,6,27,1313067
Redmi K30 Pro,7.1-7.2,24878,7,27,1313067
Redmi K30 Pro,7.3-7.9,88294,7,28,1313067
Redmi K30 Pro,7.10-7.16,107962,7,29,1313067
Redmi K30 Pro,7.17-7.23,106000,7,30,1313067
Redmi K30 Pro,7.24-7.30,121663,7,31,1313067
Redmi K30 Pro,7.31-7.31,17380,7,32,1313067
Redmi K30 Pro,8.1-8.6,103329,8,32,1313067
Redmi K30 Pro,8.7-8.13,119132,8,33,1313067
Redmi K30 Pro,8.14-8.20,130155,8,34,1313067
Redmi K30 Pro,8.21-8.27,133832,8,35,1313067
Redmi K30 Pro,8.28-8.31,75871,8,36,1313067
Redmi K30 Pro,9.1-9.3,54987,9,36,1313067
Redmi K30 Pro,9.4-9.10,125343,9,37,1313067
Redmi K30 Pro,9.11-9.17,124729,9,38,1313067
Redmi K30 Pro,9.18-9.24,118337,9,39,1313067
Redmi K30 Pro,9.25-9.30,101020,9,40,1313067
Redmi K30 Pro,10.1,18848,10,40,1313067
Redmi K30 Pro,10.2-10.8,119204,10,41,1313067
Redmi K30 Pro,10.9-10.15,118521,10,42,1313067
Redmi K30 Pro,10.16-10.22,113203,10,43,1313067
Redmi K30至尊纪念版,1.1-1.5,\,1,1,1334559
Redmi K30至尊纪念版,1.6-1.12,\,1,2,1334559
Redmi K30至尊纪念版,1.13-1.19,\,1,3,1334559
Redmi K30至尊纪念版,1.20-1.26,\,1,4,1334559
Redmi K30至尊纪念版,1.27-1.31,\,1,5,1334559
Redmi K30至尊纪念版,2.1-2.2,\,2,5,1334559
Redmi K30至尊纪念版,2.3-2.9,\,2,6,1334559
Redmi K30至尊纪念版,2.10-2.16,\,2,7,1334559
Redmi K30至尊纪念版,2.17-2.23,\,2,8,1334559
Redmi K30至尊纪念版,2.24-2.29,\,2,9,1334559
Redmi K30至尊纪念版,3.1-3.5,\,3,10,1334559
Redmi K30至尊纪念版,3.6-3.12,\,3,11,1334559
Redmi K30至尊纪念版,3.13-3.19,\,3,12,1334559
Redmi K30至尊纪念版,3.20-3.26,\,3,13,1334559
Redmi K30至尊纪念版,3.27-3.31,\,3,14,1334559
Redmi K30至尊纪念版,4.1-4.2,\,4,14,1334559
Redmi K30至尊纪念版,4.3-4.9,\,4,15,1334559
Redmi K30至尊纪念版,4.10-4.16,\,4,16,1334559
Redmi K30至尊纪念版,4.17-4.23,\,4,17,1334559
Redmi K30至尊纪念版,4.24-4.30,\,4,18,1334559
Redmi K30至尊纪念版,5.1-5.7,\,5,19,1334559
Redmi K30至尊纪念版,5.8-5.14,\,5,20,1334559
Redmi K30至尊纪念版,5.15-5.21,\,5,21,1334559
Redmi K30至尊纪念版,5.22-5.28,\,5,22,1334559
Redmi K30至尊纪念版,5.29-5.31,\,5,23,1334559
Redmi K30至尊纪念版,6.1-6.4,\,6,23,1334559
Redmi K30至尊纪念版,6.5-6.11,\,6,24,1334559
Redmi K30至尊纪念版,6.12-6.18,\,6,25,1334559
Redmi K30至尊纪念版,6.19-6.25,\,6,26,1334559
Redmi K30至尊纪念版,6.26-6.30,\,6,27,1334559
Redmi K30至尊纪念版,7.1-7.2,\,7,27,1334559
Redmi K30至尊纪念版,7.3-7.9,\,7,28,1334559
Redmi K30至尊纪念版,7.10-7.16,\,7,29,1334559
Redmi K30至尊纪念版,7.17-7.23,\,7,30,1334559
Redmi K30至尊纪念版,7.24-7.30,\,7,31,1334559
Redmi K30至尊纪念版,7.31-7.31,\,7,32,1334559
Redmi K30至尊纪念版,8.1-8.6,\,8,32,1334559
Redmi K30至尊纪念版,8.7-8.13,\,8,33,1334559
Redmi K30至尊纪念版,8.14-8.20,48461,8,34,1334559
Redmi K30至尊纪念版,8.21-8.27,62066,8,35,1334559
Redmi K30至尊纪念版,8.28-8.31,34417,8,36,1334559
Redmi K30至尊纪念版,9.1-9.3,25818,9,36,1334559
Redmi K30至尊纪念版,9.4-9.10,71236,9,37,1334559
Redmi K30至尊纪念版,9.11-9.17,90946,9,38,1334559
Redmi K30至尊纪念版,9.18-9.24,76930,9,39,1334559
Redmi K30至尊纪念版,9.25-9.30,62664,9,40,1334559
Redmi K30至尊纪念版,10.1,13497,10,40,1334559
Redmi K30至尊纪念版,10.2-10.8,84830,10,41,1334559
Redmi K30至尊纪念版,10.9-10.15,79035,10,42,1334559
Redmi K30至尊纪念版,10.16-10.22,84100,10,43,1334559
Redmi Note 7,1.1-1.5,32865,1,1,1249706
Redmi Note 7,1.6-1.12,48298,1,2,1249706
Redmi Note 7,1.13-1.19,40419,1,3,1249706
Redmi Note 7,1.20-1.26,40319,1,4,1249706
Redmi Note 7,1.27-1.31,26175,1,5,1249706
Redmi Note 7,2.1-2.2,9803,2,5,1249706
