机型,日期,销量,月份,周数,index
360 手机N7 Pro,9.25-9.30,376,9,40,1213119
360 手机N7 Pro,10.1,51,10,40,1213119
360 手机N7 Pro,10.2-10.8,362,10,41,1213119
360 手机N7 Pro,10.9-10.15,410,10,42,1213119
360 手机N7 Pro,10.16-10.22,388,10,43,1213119
OPPO A11,1.1-1.5,170963,1,1,1295487
OPPO A11,1.6-1.12,213660,1,2,1295487
OPPO A11,1.13-1.19,273656,1,3,1295487
OPPO A11,1.20-1.26,322311,1,4,1295487
OPPO A11,1.27-1.31,140293,1,5,1295487
OPPO A11,2.1-2.2,50975,2,5,1295487
OPPO A11,2.3-2.9,136266,2,6,1295487
OPPO A11,2.10-2.16,136030,2,7,1295487
OPPO A11,2.17-2.23,152439,2,8,1295487
OPPO A11,2.24-2.29,169758,2,9,1295487
OPPO A11,3.1-3.5,157589,3,10,1295487
OPPO A11,3.6-3.12,191836,3,11,1295487
OPPO A11,3.13-3.19,181775,3,12,1295487
OPPO A11,3.20-3.26,225712,3,13,1295487
OPPO A11,3.27-3.31,108215,3,14,1295487
OPPO A11,4.1-4.2,45182,4,14,1295487
OPPO A11,4.3-4.9,147993,4,15,1295487
OPPO A11,4.10-4.16,128420,4,16,1295487
OPPO A11,4.17-4.23,123171,4,17,1295487
OPPO A11,4.24-4.30,109564,4,18,1295487
OPPO A11,5.1-5.7,118476,5,19,1295487
OPPO A11,5.8-5.14,108168,5,20,1295487
OPPO A11,5.15-5.21,100841,5,21,1295487
OPPO A11,5.22-5.28,96543,5,22,1295487
OPPO A11,5.29-5.31,49580,5,23,1295487
OPPO A11,6.1-6.4,54889,6,23,1295487
OPPO A11,6.5-6.11,92619,6,24,1295487
OPPO A11,6.12-6.18,90184,6,25,1295487
OPPO A11,6.19-6.25,105666,6,26,1295487
OPPO A11,6.26-6.30,80019,6,27,1295487
OPPO A11,7.1-7.2,33523,7,27,1295487
OPPO A11,7.3-7.9,101701,7,28,1295487
OPPO A11,7.10-7.16,115819,7,29,1295487
OPPO A11,7.17-7.23,119987,7,30,1295487
OPPO A11,7.24-7.30,121481,7,31,1295487
OPPO A11,7.31-7.31,17354,7,32,1295487
OPPO A11,8.1-8.6,104367,8,32,1295487
OPPO A11,8.7-8.13,111966,8,33,1295487
OPPO A11,8.14-8.20,98146,8,34,1295487
OPPO A11,8.21-8.27,81863,8,35,1295487
OPPO A11,8.28-8.31,45950,8,36,1295487
OPPO A11,9.1-9.3,29641,9,36,1295487
OPPO A11,9.4-9.10,54934,9,37,1295487
OPPO A11,9.11-9.17,49519,9,38,1295487
OPPO A11,9.18-9.24,43881,9,39,1295487
OPPO A11,9.25-9.30,36813,9,40,1295487
OPPO A11,10.1,11342,10,40,1295487
OPPO A11,10.2-10.8,48207,10,41,1295487
OPPO A11,10.9-10.15,34723,10,42,1295487
OPPO A11,10.16-10.22,33252,10,43,1295487
OPPO A11x,1.1-1.5,66586,1,1,1293959
OPPO A11x,1.6-1.12,83811,1,2,1293959
OPPO A11x,1.13-1.19,88227,1,3,1293959
OPPO A11x,1.20-1.26,91052,1,4,1293959
OPPO A11x,1.27-1.31,44706,1,5,1293959
OPPO A11x,2.1-2.2,15803,2,5,1293959
OPPO A11x,2.3-2.9,43551,2,6,1293959
OPPO A11x,2.10-2.16,41867,2,7,1293959
OPPO A11x,2.17-2.23,42445,2,8,1293959
OPPO A11x,2.24-2.29,45297,2,9,1293959
OPPO A11x,3.1-3.5,45155,3,10,1293959
OPPO A11x,3.6-3.12,64402,3,11,1293959
OPPO A11x,3.13-3.19,99390,3,12,1293959
OPPO A11x,3.20-3.26,127053,3,13,1293959
OPPO A11x,3.27-3.31,69740,3,14,1293959
OPPO A11x,4.1-4.2,29524,4,14,1293959
OPPO A11x,4.3-4.9,87669,4,15,1293959
OPPO A11x,4.10-4.16,70990,4,16,1293959
OPPO A11x,4.17-4.23,63934,4,17,1293959
OPPO A11x,4.24-4.30,52730,4,18,1293959
OPPO A11x,5.1-5.7,51231,5,19,1293959
OPPO A11x,5.8-5.14,44969,5,20,1293959
OPPO A11x,5.15-5.21,38328,5,21,1293959
OPPO A11x,5.22-5.28,35367,5,22,1293959
OPPO A11x,5.29-5.31,17281,5,23,1293959
OPPO A11x,6.1-6.4,18600,6,23,1293959
OPPO A11x,6.5-6.11,29723,6,24,1293959
OPPO A11x,6.12-6.18,26690,6,25,1293959
OPPO A11x,6.19-6.25,27404,6,26,1293959
OPPO A11x,6.26-6.30,18974,6,27,1293959
OPPO A11x,7.1-7.2,8180,7,27,1293959
OPPO A11x,7.3-7.9,22929,7,28,1293959
OPPO A11x,7.10-7.16,24048,7,29,1293959
OPPO A11x,7.17-7.23,22341,7,30,1293959
OPPO A11x,7.24-7.30,21237,7,31,1293959
OPPO A11x,7.31-7.31,3034,7,32,1293959
OPPO A11x,8.1-8.6,17278,8,32,1293959
OPPO A11x,8.7-8.13,18363,8,33,1293959
OPPO A11x,8.14-8.20,16193,8,34,1293959
OPPO A11x,8.21-8.27,14328,8,35,1293959
OPPO A11x,8.28-8.31,8471,8,36,1293959
OPPO A11x,9.1-9.3,5858,9,36,1293959
OPPO A11x,9.4-9.10,11711,9,37,1293959
OPPO A11x,9.11-9.17,11561,9,38,1293959
OPPO A11x,9.18-9.24,11621,9,39,1293959
OPPO A11x,9.25-9.30,10096,9,40,1293959
OPPO A11x,10.1,2605,10,40,1293959
OPPO A11x,10.2-10.8,11032,10,41,1293959
OPPO A11x,10.9-10.15,9277,10,42,1293959
OPPO A11x,10.16-10.22,9192,10,43,1293959
OPPO A32,1.1-1.5,\,1,1,1339260
OPPO A32,1.6-1.12,\,1,2,1339260
OPPO A32,1.13-1.19,\,1,3,1339260
OPPO A32,1.20-1.26,\,1,4,1339260
OPPO A32,1.27-1.31,\,1,5,1339260
OPPO A32,2.1-2.2,\,2,5,1339260
OPPO A32,2.3-2.9,\,2,6,1339260
OPPO A32,2.10-2.16,\,2,7,1339260
OPPO A32,2.17-2.23,\,2,8,1339260
OPPO A32,2.24-2.29,\,2,9,1339260
OPPO A32,3.1-3.5,\,3,10,1339260
OPPO A32,3.6-3.12,\,3,11,1339260
OPPO A32,3.13-3.19,\,3,12,1339260
OPPO A32,3.20-3.26,\,3,13,1339260
OPPO A32,3.27-3.31,\,3,14,1339260
OPPO A32,4.1-4.2,\,4,14,1339260
OPPO A32,4.3-4.9,\,4,15,1339260
OPPO A32,4.10-4.16,\,4,16,1339260
OPPO A32,4.17-4.23,\,4,17,1339260
OPPO A32,4.24-4.30,\,4,18,1339260
OPPO A32,5.1-5.7,\,5,19,1339260
OPPO A32,5.8-5.14,\,5,20,1339260
OPPO A32,5.15-5.21,\,5,21,1339260
OPPO A32,5.22-5.28,\,5,22,1339260
OPPO A32,5.29-5.31,\,5,23,1339260
