store_id,sales_code,store_name,retail_store_name_for_short,store_code,store_addr,longitude,latitude,glongitude,glatitude,dimensionalcode,workinghour,provincial,province_name,city,city_name,county_name,value
19f055570acb11eaa452286ed48a74fa,12198,±±¾©ÊÐÎ÷³ÇÇø³¤°²ÉÌ³¡öÎÍ¨Íò±¦»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨³¤°²ÉÌ³¡£©,SCN096943,±±¾©ÊÐÎ÷³ÇÇø¸´ÐËÃÅÍâ´ó½Ö15ºÅ³¤°²ÉÌ³¡Ò»²ã,116.3385942,39.90665706,116.3513605,39.91364763,12198,10£º00¡ª22£º00,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,Î÷³ÇÇø,1
3f1b56e3284111ea8951fa163ece70dc,12282,±±¾©ÊÐÐÂ½Ö¿ÚÐÂ»ª°Ù»õºàÍ¨´ï»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨ÐÂ»ª°Ù»õ£©,SCN113477,±±¾©ÊÐÎ÷³ÇÇøÐÂ½Ö¿Ú±±´ó½ÖÐÂ»ª°Ù»õÒ»²ã,116.3652036,39.94630612,116.3778999,39.95370588,12282,10£º00¡ª21£º00,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,Î÷³ÇÇø,1
09586ce4dc7a11e98d91286ed48a74fa,11971,±±¾©ÊÐÎ÷³ÇÇø¹ã°²ÃÅÌìºçºàÍ¨´ï»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨ÌìºçÉÌ³¡£©,SCN078914,±±¾©ÊÐÎ÷³ÇÇø¹ã°²ÃÅÍâ´ó½Ö168ºÅÌìºçÉÌ³¡Ò»²ã»ªÎªÊÚÈ¨ÌåÑéµê,116.3350096,39.88712854,116.3477871,39.89410766,11971,10:00¡ª21:30,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,Î÷³ÇÇø,1
18d64933223611ea8951fa163ece70dc,12264,±±¾©ÊÐÎ÷³ÇÇøÓÒ°²ÃÅÍõ¸®¾®°Ù»õ²©Ô¶ÌìÁ¦»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨Íõ¸®¾®°Ù»õ£©,SCN109783,±±¾©ÊÐÎ÷³ÇÇøÓÒ°²ÃÅÍõ¸®¾®°Ù»õ´óÏÃÒ»²ã,116.358352,39.87044146,116.3710993,39.87771382,12264,10£º00¡ª22£º00,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,Î÷³ÇÇø,1
4446486,11490,±±¾©ÊÐÂíÁ¬µÀÐÂÄê»ªÐÇÇòÍ¨»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨ÐÂÄê»ª¹ºÎïÖÐÐÄ£©,SCN002285,±±¾©ÊÐÎ÷³ÇÇøÂíÁ¬µÀÂ·25ºÅÐÂÄê»ª¹ºÎïÖÐÐÄ,116.3192959,39.87589003,116.3320099,39.88293735,11490,10£º00¡ª21£º30,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,Î÷³ÇÇø,1
ac813a99cc6211e98d91286ed48a74fa,80004,±±¾©ÊÐ³¯ÑôÇøË«¾®¸»Á¦¹ã³¡ÖÇÏëÓÐÎª»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµêPlus£¨±±¾©¸»Á¦¹ã³¡£©,SCN071983,±±¾©ÊÐ³¯ÑôÇø¶«Èý»·ÖÐÂ·65ºÅÂ¥Ò»²ã102ÄÚ131ºÅ¡¢¶þ²ã202ÄÚ223ºÅ,116.4544987,39.89262863,116.4672875,39.8996258,80004,10:00¡ª22:00,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,³¯ÑôÇø,1
6167e3e895af11eabb4cfa163e1194c8,80024,±±¾©ÊÐ³¯ÑôÇø³¤éºÁúºþÒ×ÁªÑ¶´ï»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµêPlus£¨±±¾©³¤éºÁúºþ£©,SCN162646,±±¾©ÊÐ³¯ÑôÇø³£Í¨Õò³£Í¨Â·Áúºþ³¤éºÌì½ÖF1+F2,116.597844,39.92391126,116.6101523,39.93082989,80024,10:00¡ª22:00,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,³¯ÑôÇø,1
120755,5,±±¾©ÊÐ¶«´óÇÅÐÇÇòÍ¨»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨´ºÆ½¹ã³¡£©,RA01000046,±±¾©ÊÐ³¯ÑôÇø¹¤Ìå¶«Â·20ºÅ´ºÆ½¹ã³¡Ò»²ã»ªÎªÊÚÈ¨ÌåÑéµê,116.4447629,39.92289575,116.457544,39.92994386,5,9£º00¡ª20£º00,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,³¯ÑôÇø,1
4139047,10031,±±¾©ÊÐÈýÀïÍÍSOHOÐÀÔªÎ°Òµ»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨ÈýÀïÍÍSOHO£©,SCN001765,±±¾©ÊÐ³¯ÑôÇøÈýÀïÍÍ¹¤Ìå±±Â·8ºÅÈýÀïÍÍSOHO1ºÅÉÌ³¡1¡ª109,116.4471012,39.93185528,116.459883,39.93888207,10031,9:00¡ª21:00,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,³¯ÑôÇø,1
d3dc41b4cc6211e98d91286ed48a74fa,11883,±±¾©ÊÐ³¯ÑôÇøÈýÀïÍÍ3.3öÎÍ¨Íò±¦»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨ÈýÀïÍÍ3.3´óÏÃ£©,SCN071986,±±¾©ÊÐ³¯ÑôÇøÈýÀïÍÍÂ·33ºÅ3.3´óÏÃ01F1/1001/1001A,116.4489268,39.9354611,116.4617088,39.94247483,11883,10£º00¡ª22£º00,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,³¯ÑôÇø,1
c6d05c44cc6211e98d91286ed48a74fa,11881,±±¾©ÊÐ³¯ÑôÇø²Æ¸»¹ºÎïÖÐÐÄÐÀÔªÎ°Òµ»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨²Æ¸»¹ºÎïÖÐÐÄ£©,SCN071984,±±¾©ÊÐ³¯ÑôÇø¶«Èý»·ÖÐÂ·ÆßºÅ²Æ¸»¹ºÎïÖÐÐÄÒ»²ã1-15-2,116.45297,39.91669299,116.4657449,39.9236874,11881,10:00¡ª21:30,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,³¯ÑôÇø,1
92b904c8cc6211e98d91286ed48a74fa,11877,±±¾©ÊÐ³¯ÑôÇø·áÁª¹ã³¡»·ÇòÖÐÍ¨»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨·áÁª¹ã³¡£©,SCN071979,±±¾©ÊÐ³¯ÑôÇø³¯ÑôÃÅÍâ´ó½Ö18ºÅF1,116.4318244,39.92237832,116.4445746,39.92961489,11877,9:30¡ª21:30,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,³¯ÑôÇø,1
3924fd49284111ea8951fa163ece70dc,12281,±±¾©ÊÐ³¯ÑôÇø¹úÃ³ÉÌ³Ç²©Ô¶ÌìÁ¦»ªÎªÊÚÈ¨ÌåÑéµê,»ªÎªÊÚÈ¨ÌåÑéµê£¨¹úÃ³ÉÌ³Ç£©,SCN113476,±±¾©ÊÐ³¯ÑôÇø½¨¹úÃÅÍâ´ó½Ö1ºÅ¹úÃ³ÉÌ³ÇB1,116.4539991,39.90912972,116.4667757,39.91612313,12281,10:00-21:30,Beijing,±±¾©ÊÐ,Beijing,±±¾©ÊÐ,³¯ÑôÇø,1
