型号,brand,index_zol,price,OLED,IP,full_screen,screen_per,screen_size,back_cam_lst,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_lst,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,size,device_length,device_width,device_thickness,fingerprint_type,release_date,releaseY,releaseM,wireless_charge,quick_charge,battery_vol
金立金钢（GN5001S/全网通）参数,金立手机,1116928,,,,,68.84,5,800万像素>普通级像素 样张秀>，高清像素手机>,1,800,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,联发科,联发科 MT6735更多联发科 MT6735手机>，手机性能排行>,3,16,,1280x720,294ppi,143x70x8.5mm,143,70,8.5,,2016年01月>,2016,01,,,4000
金立大金钢5（全网通）参数,金立手机,1309449,,,,1,,6.217,1200万像素+200万像素高清级像素高清像素手机>,2,1200,200,,,,1300万像素>高清级像素高像素自拍手机>,1,1300,,,,,,,4,64,,1280x720,,159.75x75.9x9.9mm,159.75,75.9,9.9,,2020年>,2020,,,1,5000
金立K3（6GB/128GB/全网通）参数,金立手机,1293516,,,,1,,6.2,1600万像素>高清级像素高清像素手机>,1,1600,,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,联发科,联发科 MTK6763手机性能排行>,6,128,,1520x720,234ppi,157.7x75.6x9.4mm,157.7,75.6,9.4,后置指纹 ,2019年09月,2019,09,,1,5000
金立S6 Pro（全网通）参数,金立手机,1146351,,,,,72.38,5.5,1300万像素>高清级像素 样张秀>，高清像素手机>,1,1300,,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,联发科,联发科 MT6755M手机性能排行>,4,64,,1920x1080,401ppi,153x75.26x7.6mm,153,75.26,7.6,前置指纹 ,2016年06月>,2016,06,,,3130
金立D100参数,金立手机,98389,,,,,,,100万像素普通级像素高清像素手机>,1,100,,,,,,0,,,,,,,,,,,176×220,,89mm*46mm*16.5mm,89,46,16.5,,2007年1月,2007,1,,,
金立M3s（双4G）参数,金立手机,1099503,,1,,,66.89,5,800万像素>普通级像素高清像素手机>,1,800,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,高通,高通 骁龙410（MSM8916）更多高通 骁龙410（MSM8916）手机>，手机性能排行>,1,16,1,1280x720,294ppi,144.7x71.2x10.18mm,144.7,71.2,10.18,,2015年08月>,2015,08,,,5000
金立GN152（移动4G）参数,金立手机,1099500,,,,,68.85,5,500万像素普通级像素高清像素手机>,1,500,,,,,200万像素>普通级像素高像素自拍手机>,1,200,,,,,联发科,联发科 MT6735M手机性能排行>,1,8,,854x480,196ppi,140.8x71.08x8.85mm,140.8,71.08,8.85,,2015年08月>,2015,08,,,2400
金立V303参数,金立手机,244245,,,,,36.12,2.8,,0,,,,,,,0,,,,,,,,,,,320x240,143ppi,120x56x16.2mm,120,56,16.2,,2009年06月,2009,06,,,2500
金立S5.1 Pro（双4G）参数,金立手机,1099498,,,,,67.84,5,1300万像素>高清级像素高清像素手机>,1,1300,,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,联发科,联发科 MT6753更多联发科 MT6753手机>，手机性能排行>,2,16,,1280x720,294ppi,145.1x70x6.45mm,145.1,70,6.45,,2015年08月>,2015,08,,,2400
金立A109参数,金立手机,98387,,,,,,2.4,200万像素普通级像素高清像素手机>,1,200,,,,,,0,,,,,,,,,,,240×320,100ppi,95×52×21.5mm,95,52,21.5,,,,,,,
金立E7L（2GB RAM/移动4G）参数,金立手机,365757,,,,,,5.5,1600万像素>高清级像素 样张秀>，高清像素手机>,1,1600,,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,高通,高通 骁龙800（MSM8974AA）手机性能排行>,2,16,,1920x1080,401ppi,150.6x75x9.6mm,150.6,75,9.6,,2013年11月,2013,11,,,3000
金立V360参数,金立手机,190361,,,,,,,,0,,,,,,,0,,,,,,,,,,,320x240,,,,,,,2009年,2009,,,,1000
金立V3200参数,金立手机,157025,,,,,,2.6,130万像素普通级像素高清像素手机>,1,130,,,,,,0,,,,,,,,,,,320x240,,,,,,,2008年08月,2008,08,,,1450
金立L800参数,金立手机,190481,,,,,43.21,2.8,200万像素普通级像素高清像素手机>,1,200,,,,,,0,,,,,,,,,,,320x240,143ppi,107x52.5x14.9mm,107,52.5,14.9,,2009年,2009,,,,1500
金立F103蓝炫（2GB RAM/移动4G）参数,金立手机,1099501,,,,,68.55,5,800万像素>普通级像素高清像素手机>,1,800,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,联发科,联发科 MT6735更多联发科 MT6735手机>，手机性能排行>,2,16,,1280x720,294ppi,143x70.3x7.95mm,143,70.3,7.95,,2015年08月>,2015,08,,,2400
金立E500参数,金立手机,280982,,,,,,,30万像素普通级像素高清像素手机>,1,30,,,,,,0,,,,,,,,,,,320x240,,104x50.9x16mm,104,50.9,16,,2011年04月,2011,04,,,
金立S608参数,金立手机,190357,,,,,,,200万像素普通级像素高清像素手机>,1,200,,,,,,0,,,,,,,,,,,320x240,,107x52.5x15mm,107,52.5,15,,2009年,2009,,,,950
金立M5高配版（32GB/全网通）参数,金立手机,1102064,,1,,,72.19,5.5,1300万像素>高清级像素高清像素手机>,1,1300,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,联发科,联发科 MT6735更多联发科 MT6735手机>，手机性能排行>,3,32,,1280x720,267ppi,152x76x8.5mm,152,76,8.5,,2015年10月>,2015,10,,,6020
金立V3参数,金立手机,99031,,,,,,,,0,,,,,,,0,,,,,,,,,,,128×128,,100.8mm*42.8 mm*15.9 mm,100.8,42.8,15.9,,,,,,,
金立S6（双4G）参数,金立手机,1102247,,1,,,73.45,5.5,1300万像素>高清级像素 样张秀>，高清像素手机>,1,1300,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,联发科,联发科 MT6753游戏体验 重掉帧(击败25.07%手机)更多联发科 MT6753手机>，手机性能排行>,3,32,,1280x720,267ppi,152x74.7x6.9mm,152,74.7,6.9,,2015年11月>,2015,11,,,3150
金立天鉴W900（双4G）参数,金立手机,393911,,,,,,4,1300万像素>高清级像素高清像素手机>,1,1300,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,联发科,联发科 MT6732更多联发科 MT6732手机>，手机性能排行>,2,16,1,800x480,233ppi,121.3x62.7x15.5mm,121.3,62.7,15.5,,2014年12月,2014,12,,,2050
金立天鉴T1参数,金立手机,369218,,,,,71.95,5.5,800万像素>普通级像素高清像素手机>,1,800,,,,,200万像素>普通级像素高像素自拍手机>,1,200,,,,,,,1,16,,1280x720,267ppi,151.5x76.5x9.5mm,151.5,76.5,9.5,,2014年01月,2014,01,,,3000
金立GN103参数,金立手机,280988,,,,,47.47,3.5,500万像素普通级像素高清像素手机>,1,500,,,,,,0,,,,,,高通,高通 骁龙Snapdragon MSM7227手机性能排行>,512,512,,480x320,165ppi,121x63.5x14mm,121,63.5,14,,2011年04月,2011,04,,,1400
金立V670参数,金立手机,190352,,,,,,,30万像素普通级像素高清像素手机>,1,30,,,,,,0,,,,,,MT6225A+MT6139BN手机性能排行>,MT6225A+MT6139BN手机性能排行>,,,,320x240,,102.4x51.3x16.5mm,102.4,51.3,16.5,,2009年,2009,,,,1020
金立金钢（GN5001/双4G）参数,金立手机,1101722,,,,,68.84,5,800万像素>普通级像素 样张秀>，高清像素手机>,1,800,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,联发科,联发科 MT6735游戏体验 重掉帧(击败2.92%手机)更多联发科 MT6735手机>，手机性能排行>,1,16,,1280x720,294ppi,143x70x8.5mm,143,70,8.5,,2015年10月>,2015,10,,,4000
金立GN105参数,金立手机,309649,,,,,52.9,3.75,300万像素普通级像素高清像素手机>,1,300,,,,,30万像素>普通级像素高像素自拍手机>,1,30,,,,,,,,,,480x320,154ppi,123.9x63.9x10.9mm,123.9,63.9,10.9,,2012年,2012,,,,1300
金立天鉴W808参数,金立手机,369216,,,,,55.52,3.7,800万像素>普通级像素 样张秀>，高清像素手机>,1,800,,,,,200万像素>普通级像素高像素自拍手机>,1,200,,,,,联发科,联发科 MT6589M手机性能排行>,1,16,,800x480,252ppi,116x60.5x19.3mm,116,60.5,19.3,,2014年01月,2014,01,,,2300
金立V707参数,金立手机,99034,,,,,,2.2,130万像素普通级像素高清像素手机>,1,130,,,,,,0,,,,,,,,,,,,,103.2*45.6*12.5mm,103.2,45.6,12.5,,2007年3月,2007,3,,,
金立GN700T（移动版）参数,金立手机,337182,,,,,60.4,4.3,500万像素普通级像素高清像素手机>,1,500,,,,,30万像素>普通级像素高像素自拍手机>,1,30,,,,,联发科,联发科 MT6577更多联发科 MT6577手机>，手机性能排行>,512,4,,800x480,217ppi,128.5x67.8x9.8mm,128.5,67.8,9.8,,2012年,2012,,,,1800
金立L35参数,金立手机,248669,,,,,31.74,2.4,130万像素普通级像素高清像素手机>,1,130,,,,,,0,,,,,,,,,,,320x240,167ppi,114.7x49x11.7mm,114.7,49,11.7,,2010年07月,2010,07,,,
金立S609参数,金立手机,248674,,,,,32.83,2.4,200万像素普通级像素高清像素手机>,1,200,,,,,,0,,,,,,,,,,,320x240,167ppi,105.5x51.5x16.4mm,105.5,51.5,16.4,,2010年07月,2010,07,,,
金立S600参数,金立手机,99036,,,,,,2.8,200万像素普通级像素高清像素手机>,1,200,,,,,,0,,,,,,,,,,,240×320,86ppi,108×60×18mm,108,60,18,,2007年3月,2007,3,,,
金立H6参数,金立手机,99033,,,,,,,100万像素普通级像素高清像素手机>,1,100,,,,,,0,,,,,,,,,,,176×220,,108.8mm*48.8 mm*8.7 mm,108.8,48.8,8.7,,2007年03月,2007,03,,,
金立L18参数,金立手机,161786,,,,,,3,30万像素普通级像素高清像素手机>,1,30,,,,,,0,,,,,,,,,,,320x240,,,,,,,2008年,2008,,,,1300
金立X6参数,金立手机,99032,,,,,,,30万像素普通级像素高清像素手机>,1,30,,,,,,0,,,,,,,,,,,176×220,,110.8mm*50mm*8.8 mm,110.8,50,8.8,,2007年3月,2007,3,,,
金立M300参数,金立手机,248681,,,,,29.97,2.4,30万像素普通级像素高清像素手机>,1,30,,,,,30万像素>普通级像素高像素自拍手机>,1,30,,,,,,,,,,320x240,167ppi,115.8x51.4x14.3mm,115.8,51.4,14.3,,2010年07月,2010,07,,,1200
金立V170参数,金立手机,248687,,,,,,,30万像素普通级像素高清像素手机>,1,30,,,,,,0,,,,,,,,,,,320x240,,99x48x17.5mm,99,48,17.5,,2010年07月,2010,07,,,1000
金立F103S（双4G）参数,金立手机,1101299,,,,,68.55,5,800万像素>普通级像素高清像素手机>,1,800,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,高通,高通 骁龙410（MSM8916）更多高通 骁龙410（MSM8916）手机>，手机性能排行>,1,16,,1280x720,294ppi,143x70.3x7.95mm,143,70.3,7.95,,2015年09月>,2015,09,,,2400
金立A326参数,金立手机,310815,,,,,40.95,2.8,200万像素普通级像素高清像素手机>,1,200,,,,,,0,,,,,,,,,,,320x240,143ppi,104x57x21,104,57,21,,2012年,2012,,,,2000
LG V50 ThinQ参数,LG手机,1258040,,1,IP68,,83,6.4,1600万像素广角镜头+1200万像素长焦镜头+1200万标准镜头高清级像素高清像素手机>,3,1600,1200,1200,,,800万像素标准镜头+500万像素款镜头普通级像素高像素自拍手机>,2,800,500,,,,高通,高通 骁龙855更多高通 骁龙855手机>，手机性能排行>,6,128,1,3120x1440,564ppi,159.1x73.1x8.3mm,159.1,73.1,8.3,,2019年>,2019,,1,1,4000
金立GN305参数,金立手机,331873,,,,,57.83,4,800万像素>普通级像素 样张秀>，高清像素手机>,1,800,,,,,30万像素>普通级像素高像素自拍手机>,1,30,,,,,,,512,4,,800x480,233ppi,125x63x10.7mm,125,63,10.7,,2012年08月,2012,08,,,1500
金立M270参数,金立手机,243020,,,,,,,130万像素普通级像素高清像素手机>,1,130,,,,,,0,,,,,,,,,,,320x240,,116x51.7x14.5mm,116,51.7,14.5,,2010年05月,2010,05,,,1300
金立E105参数,金立手机,248703,,,,,,,30万像素普通级像素高清像素手机>,1,30,,,,,,0,,,,,,,,,,,320x240,,117x51.9x16mm,117,51.9,16,,2010年07月,2010,07,,,
金立L30参数,金立手机,248710,,,,,,,130万像素普通级像素高清像素手机>,1,130,,,,,,0,,,,,,,,,,,320x240,,113x50x13mm,113,50,13,,2010年07月,2010,07,,,920
金立W368参数,金立手机,302569,,,,,,,200万像素普通级像素高清像素手机>,1,200,,,,,,0,,,,,,,,,,,400x240,,104.6x57x22mm,104.6,57,22,,2011年,2011,,,,1350
